convolution_RTX_2070_SUPER_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
RandomGreedyILS,0.5992051543497775,0.24604255714849213,0.0,25,0.0,walksize=0.02; no_improve=5; restart=False; nbour=Hamming
RandomGreedyILS,0.5302862998381884,0.3532662208479274,0.0,25,0.0,walksize=0.02; no_improve=5; restart=False; nbour=adjacent
RandomGreedyILS,0.4896134927466987,0.3126499118788742,0.0,25,0.0,walksize=0.02; no_improve=5; restart=True; nbour=Hamming
RandomGreedyILS,0.4004783219311563,0.33568784523991646,0.0,25,0.0,walksize=0.02; no_improve=5; restart=True; nbour=adjacent
RandomGreedyILS,0.5472770507338834,0.3212174600547524,0.05,25,0.0,walksize=0.02; no_improve=10; restart=False; nbour=Hamming
RandomGreedyILS,0.5777753899171464,0.33465630613270764,0.05,24.85,0.6708203932499369,walksize=0.02; no_improve=10; restart=False; nbour=adjacent
RandomGreedyILS,0.48771563033704435,0.3450294289276284,0.0,25,0.0,walksize=0.02; no_improve=10; restart=True; nbour=Hamming
RandomGreedyILS,0.4391713968909875,0.2892420255559342,0.0,25,0.0,walksize=0.02; no_improve=10; restart=True; nbour=adjacent
RandomGreedyILS,0.4919808071613028,0.24232436433526394,0.0,25,0.0,walksize=0.02; no_improve=25; restart=False; nbour=Hamming
RandomGreedyILS,0.4277649238608174,0.29269689076684846,0.0,25,0.0,walksize=0.02; no_improve=25; restart=False; nbour=adjacent
RandomGreedyILS,0.5368357676799712,0.2692940314134114,0.0,25,0.0,walksize=0.02; no_improve=25; restart=True; nbour=Hamming
RandomGreedyILS,0.34832654891947773,0.2714294838539763,0.0,25,0.0,walksize=0.02; no_improve=25; restart=True; nbour=adjacent
RandomGreedyILS,0.516588187023601,0.33158216961017745,0.05,25,0.0,walksize=0.02; no_improve=50; restart=False; nbour=Hamming
RandomGreedyILS,0.5092800147526411,0.26066135364106635,0.0,25,0.0,walksize=0.02; no_improve=50; restart=False; nbour=adjacent
RandomGreedyILS,0.5006623928238995,0.2573809969493117,0.0,25,0.0,walksize=0.02; no_improve=50; restart=True; nbour=Hamming
RandomGreedyILS,0.6183941199193013,0.3413245104047515,0.05,24.45,2.4596747752497685,walksize=0.02; no_improve=50; restart=True; nbour=adjacent
RandomGreedyILS,0.5363884758214353,0.2539038430080249,0.0,25,0.0,walksize=0.02; no_improve=100; restart=False; nbour=Hamming
RandomGreedyILS,0.5194492809442517,0.323827240585428,0.0,25,0.0,walksize=0.02; no_improve=100; restart=False; nbour=adjacent
RandomGreedyILS,0.46357530167366395,0.30674225789378906,0.0,25,0.0,walksize=0.02; no_improve=100; restart=True; nbour=Hamming
RandomGreedyILS,0.5816784426595217,0.2540812298217758,0.0,25,0.0,walksize=0.02; no_improve=100; restart=True; nbour=adjacent
RandomGreedyILS,0.4398614115442356,0.2983378194346522,0.0,25,0.0,walksize=0.02; no_improve=200; restart=False; nbour=Hamming
RandomGreedyILS,0.44079210485721837,0.25916820849545685,0.0,25,0.0,walksize=0.02; no_improve=200; restart=False; nbour=adjacent
RandomGreedyILS,0.4270377655138817,0.24523091981492087,0.0,25,0.0,walksize=0.02; no_improve=200; restart=True; nbour=Hamming
RandomGreedyILS,0.549243783290594,0.2953637055530445,0.0,25,0.0,walksize=0.02; no_improve=200; restart=True; nbour=adjacent
RandomGreedyILS,0.5469201775773115,0.2938143277681477,0.0,25,0.0,walksize=0.02; no_improve=500; restart=False; nbour=Hamming
RandomGreedyILS,0.5187724120792968,0.32191537534974596,0.0,25,0.0,walksize=0.02; no_improve=500; restart=False; nbour=adjacent
RandomGreedyILS,0.518734410460908,0.2586354111430339,0.0,25,0.0,walksize=0.02; no_improve=500; restart=True; nbour=Hamming
RandomGreedyILS,0.5013115162082776,0.3496307868514585,0.0,25,0.0,walksize=0.02; no_improve=500; restart=True; nbour=adjacent
RandomGreedyILS,0.49545492298050264,0.30635262599428714,0.0,25,0.0,walksize=0.05; no_improve=5; restart=False; nbour=Hamming
RandomGreedyILS,0.5497979998981546,0.32419697334211145,0.0,25,0.0,walksize=0.05; no_improve=5; restart=False; nbour=adjacent
RandomGreedyILS,0.4970572578254429,0.2776552369906195,0.05,25,0.0,walksize=0.05; no_improve=5; restart=True; nbour=Hamming
RandomGreedyILS,0.41639444223597305,0.3732298939816727,0.0,25,0.0,walksize=0.05; no_improve=5; restart=True; nbour=adjacent
RandomGreedyILS,0.47927773306983834,0.28968520823437716,0.0,25,0.0,walksize=0.05; no_improve=10; restart=False; nbour=Hamming
RandomGreedyILS,0.4160664005150533,0.33063070218748336,0.0,25,0.0,walksize=0.05; no_improve=10; restart=False; nbour=adjacent
RandomGreedyILS,0.4073077567308931,0.2918974319946798,0.05,25,0.0,walksize=0.05; no_improve=10; restart=True; nbour=Hamming
RandomGreedyILS,0.3807335731177557,0.3550162111366517,0.0,25,0.0,walksize=0.05; no_improve=10; restart=True; nbour=adjacent
RandomGreedyILS,0.4730895905696069,0.2893596019797904,0.0,25,0.0,walksize=0.05; no_improve=25; restart=False; nbour=Hamming
RandomGreedyILS,0.45759498003941945,0.40008666080831995,0.0,25,0.0,walksize=0.05; no_improve=25; restart=False; nbour=adjacent
RandomGreedyILS,0.4787329161069199,0.33849818887466676,0.0,25,0.0,walksize=0.05; no_improve=25; restart=True; nbour=Hamming
RandomGreedyILS,0.3522634958147968,0.3148627866002437,0.0,25,0.0,walksize=0.05; no_improve=25; restart=True; nbour=adjacent
RandomGreedyILS,0.5542981677047975,0.30902021725417417,0.05,25,0.0,walksize=0.05; no_improve=50; restart=False; nbour=Hamming
RandomGreedyILS,0.41489232048867103,0.3568304190597419,0.0,25,0.0,walksize=0.05; no_improve=50; restart=False; nbour=adjacent
RandomGreedyILS,0.5009293522284884,0.30659628235106495,0.0,25,0.0,walksize=0.05; no_improve=50; restart=True; nbour=Hamming
RandomGreedyILS,0.4471930528141713,0.3534237565203385,0.0,25,0.0,walksize=0.05; no_improve=50; restart=True; nbour=adjacent
