pnpoly_GTX_1080Ti_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
RandomGreedyILS,0.7533561699523373,0.18093432154760924,0.05,25,0.0,walksize=0.02; no_improve=5; restart=False; nbour=Hamming
RandomGreedyILS,0.8998066893821994,0.07478756766496603,0.05,25,0.0,walksize=0.02; no_improve=5; restart=False; nbour=adjacent
RandomGreedyILS,0.8854306810465526,0.10331628602866431,0.05,25,0.0,walksize=0.02; no_improve=5; restart=True; nbour=Hamming
RandomGreedyILS,0.8240905441689903,0.06470846257027833,0.0,25,0.0,walksize=0.02; no_improve=5; restart=True; nbour=adjacent
RandomGreedyILS,0.7606663421562466,0.1563417413154079,0.05,25,0.0,walksize=0.02; no_improve=10; restart=False; nbour=Hamming
RandomGreedyILS,0.8446628840050799,0.06686820983074201,0.0,25,0.0,walksize=0.02; no_improve=10; restart=False; nbour=adjacent
RandomGreedyILS,0.8707971800606976,0.1313594559244731,0.0,25,0.0,walksize=0.02; no_improve=10; restart=True; nbour=Hamming
RandomGreedyILS,0.8234544022564578,0.06756156768074008,0.0,25,0.0,walksize=0.02; no_improve=10; restart=True; nbour=adjacent
RandomGreedyILS,0.766118194314768,0.1648868967946368,0.05,25,0.0,walksize=0.02; no_improve=25; restart=False; nbour=Hamming
RandomGreedyILS,0.8909546506243202,0.08726233159938734,0.0,25,0.0,walksize=0.02; no_improve=25; restart=False; nbour=adjacent
RandomGreedyILS,0.8676566354232614,0.13735674163995407,0.05,25,0.0,walksize=0.02; no_improve=25; restart=True; nbour=Hamming
RandomGreedyILS,0.8335193769926749,0.05744914404031667,0.0,25,0.0,walksize=0.02; no_improve=25; restart=True; nbour=adjacent
RandomGreedyILS,0.7695662626574641,0.19484798119920954,0.1,25,0.0,walksize=0.02; no_improve=50; restart=False; nbour=Hamming
RandomGreedyILS,0.8740446766738109,0.0691969475000757,0.0,25,0.0,walksize=0.02; no_improve=50; restart=False; nbour=adjacent
RandomGreedyILS,0.8500759277364278,0.17753786255292056,0.05,25,0.0,walksize=0.02; no_improve=50; restart=True; nbour=Hamming
RandomGreedyILS,0.816884676774252,0.11531459186643446,0.05,25,0.0,walksize=0.02; no_improve=50; restart=True; nbour=adjacent
RandomGreedyILS,0.7814546433155555,0.1413905882559464,0.0,25,0.0,walksize=0.02; no_improve=100; restart=False; nbour=Hamming
RandomGreedyILS,0.8917344753276308,0.09158451201205099,0.15,24.75,1.118033988749895,walksize=0.02; no_improve=100; restart=False; nbour=adjacent
RandomGreedyILS,0.8640636403089663,0.11523971754699004,0.05,25,0.0,walksize=0.02; no_improve=100; restart=True; nbour=Hamming
RandomGreedyILS,0.8329924742114198,0.06073736583588235,0.0,25,0.0,walksize=0.02; no_improve=100; restart=True; nbour=adjacent
RandomGreedyILS,0.7813381378540181,0.14485748052561942,0.0,25,0.0,walksize=0.02; no_improve=200; restart=False; nbour=Hamming
