pnpoly_P100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
RandomGreedyILS,0.6991429404157724,0.1916084429426236,0.1,25,0.0,walksize=0.02; no_improve=5; restart=False; nbour=Hamming
RandomGreedyILS,0.8089714447300517,0.06960536460357399,0.0,25,0.0,walksize=0.02; no_improve=5; restart=False; nbour=adjacent
RandomGreedyILS,0.840241698879077,0.11587873667193341,0.0,25,0.0,walksize=0.02; no_improve=5; restart=True; nbour=Hamming
RandomGreedyILS,0.8149140096065612,0.08312455890800538,0.0,25,0.0,walksize=0.02; no_improve=5; restart=True; nbour=adjacent
RandomGreedyILS,0.7678663360055455,0.16971628689138268,0.1,25,0.0,walksize=0.02; no_improve=10; restart=False; nbour=Hamming
RandomGreedyILS,0.847013756370335,0.09987701559974362,0.15,24.6,1.7888543819998317,walksize=0.02; no_improve=10; restart=False; nbour=adjacent
RandomGreedyILS,0.8399836923791951,0.1594461829971833,0.0,25,0.0,walksize=0.02; no_improve=10; restart=True; nbour=Hamming
RandomGreedyILS,0.8060947082520965,0.06763778658382795,0.0,25,0.0,walksize=0.02; no_improve=10; restart=True; nbour=adjacent
RandomGreedyILS,0.7515722008083331,0.19463635340043578,0.05,25,0.0,walksize=0.02; no_improve=25; restart=False; nbour=Hamming
RandomGreedyILS,0.8240995670959593,0.08112612930670465,0.0,25,0.0,walksize=0.02; no_improve=25; restart=False; nbour=adjacent
RandomGreedyILS,0.8533568944316433,0.10949893996641782,0.0,25,0.0,walksize=0.02; no_improve=25; restart=True; nbour=Hamming
RandomGreedyILS,0.7920393454900583,0.07111996206302539,0.0,25,0.0,walksize=0.02; no_improve=25; restart=True; nbour=adjacent
RandomGreedyILS,0.7786293393363855,0.20091877225824664,0.05,25,0.0,walksize=0.02; no_improve=50; restart=False; nbour=Hamming
RandomGreedyILS,0.8242010579100016,0.0849965367807724,0.05,24.45,2.4596747752497685,walksize=0.02; no_improve=50; restart=False; nbour=adjacent
RandomGreedyILS,0.8514333120014327,0.1146618972121685,0.0,25,0.0,walksize=0.02; no_improve=50; restart=True; nbour=Hamming
RandomGreedyILS,0.7880596280767405,0.08095089832053443,0.05,24.65,1.5652475842498528,walksize=0.02; no_improve=50; restart=True; nbour=adjacent
RandomGreedyILS,0.7643612172018963,0.1603116765127676,0.05,25,0.0,walksize=0.02; no_improve=100; restart=False; nbour=Hamming
RandomGreedyILS,0.8570491856322894,0.10516734474374283,0.15,23.65,4.307582054690861,walksize=0.02; no_improve=100; restart=False; nbour=adjacent
RandomGreedyILS,0.8781234200770868,0.10558516008138161,0.05,25,0.0,walksize=0.02; no_improve=100; restart=True; nbour=Hamming
RandomGreedyILS,0.8069902437626282,0.07906281478611814,0.0,25,0.0,walksize=0.02; no_improve=100; restart=True; nbour=adjacent
RandomGreedyILS,0.7535908917524706,0.15045873279033573,0.05,25,0.0,walksize=0.02; no_improve=200; restart=False; nbour=Hamming
RandomGreedyILS,0.8046682769826565,0.07755460859182844,0.05,24.7,1.3416407864998738,walksize=0.02; no_improve=200; restart=False; nbour=adjacent
RandomGreedyILS,0.8788986530938884,0.11463205176055351,0.1,25,0.0,walksize=0.02; no_improve=200; restart=True; nbour=Hamming
RandomGreedyILS,0.8242615902510996,0.07650854412344109,0.05,24.15,3.8013155617496426,walksize=0.02; no_improve=200; restart=True; nbour=adjacent
RandomGreedyILS,0.7158969106762658,0.22293673952383555,0.15,25,0.0,walksize=0.02; no_improve=500; restart=False; nbour=Hamming
RandomGreedyILS,0.8144769358028969,0.07683603533891756,0.0,25,0.0,walksize=0.02; no_improve=500; restart=False; nbour=adjacent
RandomGreedyILS,0.8397388901612454,0.1250833978023619,0.0,25,0.0,walksize=0.02; no_improve=500; restart=True; nbour=Hamming
RandomGreedyILS,0.7936649086572128,0.0731156583450107,0.0,25,0.0,walksize=0.02; no_improve=500; restart=True; nbour=adjacent
RandomGreedyILS,0.7469228785170866,0.19030212595517496,0.05,25,0.0,walksize=0.05; no_improve=5; restart=False; nbour=Hamming
RandomGreedyILS,0.8352703309801613,0.08758937378661052,0.0,25,0.0,walksize=0.05; no_improve=5; restart=False; nbour=adjacent
RandomGreedyILS,0.8577679136472319,0.10943292288233654,0.05,25,0.0,walksize=0.05; no_improve=5; restart=True; nbour=Hamming
RandomGreedyILS,0.7934769953122423,0.07947635626954482,0.0,25,0.0,walksize=0.05; no_improve=5; restart=True; nbour=adjacent
RandomGreedyILS,0.8205721758530421,0.16673733009647984,0.1,25,0.0,walksize=0.05; no_improve=10; restart=False; nbour=Hamming
RandomGreedyILS,0.8492931721658094,0.09742215063711393,0.05,24.45,2.4596747752497685,walksize=0.05; no_improve=10; restart=False; nbour=adjacent
