pnpoly_RTX_2070_SUPER_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
RandomGreedyILS,0.8351250858710557,0.1779377622470532,0.0,25,0.0,walksize=0.02; no_improve=5; restart=False; nbour=Hamming
RandomGreedyILS,0.9354027485009648,0.04130470776683823,0.0,25,0.0,walksize=0.02; no_improve=5; restart=False; nbour=adjacent
RandomGreedyILS,0.9372126466533948,0.08731649657909296,0.0,25,0.0,walksize=0.02; no_improve=5; restart=True; nbour=Hamming
RandomGreedyILS,0.9487328323310569,0.0547216652482139,0.05,24.5,2.23606797749979,walksize=0.02; no_improve=5; restart=True; nbour=adjacent
RandomGreedyILS,0.8739519789481879,0.17019033360186714,0.05,25,0.0,walksize=0.02; no_improve=10; restart=False; nbour=Hamming
RandomGreedyILS,0.9423383407500829,0.04645760622742297,0.05,25,0.0,walksize=0.02; no_improve=10; restart=False; nbour=adjacent
RandomGreedyILS,0.952596087501198,0.05831601001942891,0.0,25,0.0,walksize=0.02; no_improve=10; restart=True; nbour=Hamming
RandomGreedyILS,0.9680212722098004,0.03090983114863233,0.05,25,0.0,walksize=0.02; no_improve=10; restart=True; nbour=adjacent
RandomGreedyILS,0.7893823008067739,0.25879218517908137,0.0,25,0.0,walksize=0.02; no_improve=25; restart=False; nbour=Hamming
RandomGreedyILS,0.9540513462602206,0.029768090682064128,0.0,25,0.0,walksize=0.02; no_improve=25; restart=False; nbour=adjacent
RandomGreedyILS,0.9341776443939923,0.09729092493875716,0.0,25,0.0,walksize=0.02; no_improve=25; restart=True; nbour=Hamming
RandomGreedyILS,0.9550062616341638,0.03562435079390695,0.0,25,0.0,walksize=0.02; no_improve=25; restart=True; nbour=adjacent
RandomGreedyILS,0.8687998380890913,0.18257205871950727,0.0,25,0.0,walksize=0.02; no_improve=50; restart=False; nbour=Hamming
RandomGreedyILS,0.945771142819473,0.05350977696113893,0.05,24.45,2.4596747752497685,walksize=0.02; no_improve=50; restart=False; nbour=adjacent
RandomGreedyILS,0.9315175737303536,0.11833832844222007,0.0,25,0.0,walksize=0.02; no_improve=50; restart=True; nbour=Hamming
RandomGreedyILS,0.9378353525858313,0.051377116707837504,0.0,25,0.0,walksize=0.02; no_improve=50; restart=True; nbour=adjacent
RandomGreedyILS,0.8051777819019968,0.21148273354739008,0.0,25,0.0,walksize=0.02; no_improve=100; restart=False; nbour=Hamming
RandomGreedyILS,0.9415839205639048,0.043978435005820576,0.0,25,0.0,walksize=0.02; no_improve=100; restart=False; nbour=adjacent
RandomGreedyILS,0.946013448556317,0.0936488055186758,0.05,25,0.0,walksize=0.02; no_improve=100; restart=True; nbour=Hamming
RandomGreedyILS,0.9588060148879375,0.04771075385170282,0.05,25,0.0,walksize=0.02; no_improve=100; restart=True; nbour=adjacent
