GEMM_P100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
RandomGreedyMLS,0.6683597732645307,0.40106738557481214,0.0,25,0.0,restart=False; nbour=Hamming
RandomGreedyMLS,0.46240947986073955,0.4044799294826031,0.0,25,0.0,restart=False; nbour=adjacent
RandomGreedyMLS,0.5707613557104998,0.4099168734674179,0.0,25,0.0,restart=True; nbour=Hamming
RandomGreedyMLS,0.4778158499717111,0.4171137305412048,0.0,25,0.0,restart=True; nbour=adjacent
RandomGreedyMLS,0.9196383963975527,0.03703291148655731,0.0,50,0.0,restart=False; nbour=Hamming
RandomGreedyMLS,0.7866692094756716,0.3418763666345347,0.05,49.85,0.6708203932499369,restart=False; nbour=adjacent
RandomGreedyMLS,0.7966545341065121,0.26232554367099487,0.0,50,0.0,restart=True; nbour=Hamming
RandomGreedyMLS,0.8471652915138382,0.24219498588091315,0.0,50,0.0,restart=True; nbour=adjacent
RandomGreedyMLS,0.9391231131666602,0.04266296466338519,0.0,100,0.0,restart=False; nbour=Hamming
RandomGreedyMLS,0.9557287997086318,0.02778634068257314,0.05,99.6,1.7888543819998317,restart=False; nbour=adjacent
RandomGreedyMLS,0.9267821577188176,0.03925207896258745,0.0,100,0.0,restart=True; nbour=Hamming
RandomGreedyMLS,0.9551208614840567,0.043038730790408805,0.1,99.05,4.2485291572496005,restart=True; nbour=adjacent
RandomGreedyMLS,0.9672417663778515,0.03038589916100717,0.15,189,29.35625101548579,restart=False; nbour=Hamming
RandomGreedyMLS,0.9828392490943166,0.014991413830421435,0.2,179.55,48.65828755071865,restart=False; nbour=adjacent
RandomGreedyMLS,0.9581568060372774,0.031037930582812033,0.05,192.8,32.19937887599697,restart=True; nbour=Hamming
RandomGreedyMLS,0.9684990252284009,0.019619185420090637,0.05,196.5,15.652475842498529,restart=True; nbour=adjacent
RandomGreedyMLS,0.9794607551850191,0.0169732171496765,0.15,368.7,77.36455056555636,restart=False; nbour=Hamming
RandomGreedyMLS,0.989757746819933,0.014019096287738892,0.35,323.8,128.02738193962958,restart=False; nbour=adjacent
RandomGreedyMLS,0.9860495896339972,0.019227286829818648,0.4,329.4,121.42548072139164,restart=True; nbour=Hamming
RandomGreedyMLS,0.9849803776933803,0.015268428373230954,0.25,343.45,112.61227146368431,restart=True; nbour=adjacent
RandomGreedyMLS,0.9927183352217777,0.012763437073615594,0.6,525.25,272.6275413742887,restart=False; nbour=Hamming
RandomGreedyMLS,0.9943460374761022,0.01154482749928074,0.75,420.25,283.2926467175075,restart=False; nbour=adjacent
RandomGreedyMLS,0.9859176678697665,0.01628072331703388,0.4,646,227.25964747051125,restart=True; nbour=Hamming
RandomGreedyMLS,0.9917851484192065,0.012808020100547655,0.65,621.05,249.79643817780067,restart=True; nbour=adjacent
RandomGreedyMLS,0.997181861637041,0.008369633114291689,0.75,942.6,550.8163702035466,restart=False; nbour=Hamming
RandomGreedyMLS,0.9999700545614896,0.00013392007225070452,0.95,614.7,490.68567492738913,restart=False; nbour=adjacent
RandomGreedyMLS,0.9999401091229791,0.0001843402299323642,0.9,831.45,515.2171208131067,restart=True; nbour=Hamming
RandomGreedyMLS,0.9999401091229791,0.0001843402299323642,0.9,916.8,486.55043553139427,restart=True; nbour=adjacent
