GEMM_P100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
RandomGreedyMLS,0.8026159915516341,0.3047095562320693,0.04,49.94,0.4242640687119285,restart=False; nbour=Hamming
RandomGreedyMLS,0.829266957741935,0.2817466326382815,0.0,50,0.0,restart=False; nbour=adjacent
RandomGreedyMLS,0.8705533285632222,0.19062722969989482,0.02,50,0.0,restart=True; nbour=Hamming
RandomGreedyMLS,0.799739558185618,0.29929087364785145,0.0,50,0.0,restart=True; nbour=adjacent
RandomGreedyMLS,0.9404949729784698,0.03867003699015735,0.02,99.12,6.222539674441618,restart=False; nbour=Hamming
RandomGreedyMLS,0.9573354782387421,0.031739762459048346,0.08,96.98,10.430508626336572,restart=False; nbour=adjacent
RandomGreedyMLS,0.9424775662459335,0.04419327571551353,0.06,97.82,10.243345276274718,restart=True; nbour=Hamming
RandomGreedyMLS,0.9428309984202249,0.048610406632872,0.12,95.28,15.8204723993557,restart=True; nbour=adjacent
RandomGreedyMLS,0.9628924569136617,0.026494321891625004,0.1,148.56,5.4554223166553495,restart=False; nbour=Hamming
RandomGreedyMLS,0.9696488742504881,0.027148271053535424,0.06,147.86,11.248600820020386,restart=False; nbour=adjacent
RandomGreedyMLS,0.9614821902547652,0.028598195000816933,0.08,146.1,15.692517390170906,restart=True; nbour=Hamming
RandomGreedyMLS,0.9647591074880971,0.025974396193108526,0.1,145.28,21.010240457491978,restart=True; nbour=adjacent
RandomGreedyMLS,0.9669335711706535,0.023729576332296762,0.16,190.4,29.535865434057886,restart=False; nbour=Hamming
RandomGreedyMLS,0.979088071798507,0.018520253549615513,0.18,180.34,46.12211386910949,restart=False; nbour=adjacent
RandomGreedyMLS,0.966236145223103,0.02791959827200738,0.14,188.36,33.40949394579759,restart=True; nbour=Hamming
RandomGreedyMLS,0.9729800697831522,0.021045833469773165,0.1,194.04,23.753805280546576,restart=True; nbour=adjacent
RandomGreedyMLS,0.9797313039581564,0.016023316905912372,0.22,361.04,89.42491092462743,restart=False; nbour=Hamming
RandomGreedyMLS,0.9897584817584619,0.014331190481506268,0.48,292.66,125.96624264347288,restart=False; nbour=adjacent
RandomGreedyMLS,0.9807968938700082,0.01719924360573315,0.16,366.38,90.0672968351092,restart=True; nbour=Hamming
RandomGreedyMLS,0.9875040236775859,0.014622274506627278,0.3,344.72,107.0264205412736,restart=True; nbour=adjacent
RandomGreedyMLS,0.987038795982442,0.016104245024053686,0.26,542.56,124.3528816862459,restart=False; nbour=Hamming
RandomGreedyMLS,0.9911665559855724,0.013290901140643265,0.36,486.4,187.1755696600147,restart=False; nbour=adjacent
RandomGreedyMLS,0.9830704883110322,0.016149284379476936,0.32,515.24,140.9484722752776,restart=True; nbour=Hamming
RandomGreedyMLS,0.9922150166115398,0.012851311267012397,0.4,475.6,190.43912734648256,restart=True; nbour=adjacent
RandomGreedyMLS,0.9913374984536816,0.013011315878128425,0.38,677.46,197.01882330044984,restart=False; nbour=Hamming
RandomGreedyMLS,0.99494531820978,0.010523135596524992,0.58,506.18,294.1493227624919,restart=False; nbour=adjacent
RandomGreedyMLS,0.987847407031499,0.014258622988888019,0.36,661.34,238.34108726266862,restart=True; nbour=Hamming
RandomGreedyMLS,0.9908847128011544,0.0132165467635258,0.5,632.84,245.63049734202346,restart=True; nbour=adjacent
RandomGreedyMLS,0.9923615371918211,0.012727644265296252,0.44,798.08,294.45493331765056,restart=False; nbour=Hamming
RandomGreedyMLS,0.9976376857309953,0.007428305991476939,0.62,699.3,340.57054470163354,restart=False; nbour=adjacent
RandomGreedyMLS,0.9897029003116182,0.013713753584789322,0.46,734.72,339.3178053996349,restart=True; nbour=Hamming
RandomGreedyMLS,0.9959936301833467,0.009694824551204117,0.66,606.26,380.46131021620135,restart=True; nbour=adjacent
RandomGreedyMLS,0.9993944487134936,0.003854025318815577,0.88,992.84,616.7731154309236,restart=False; nbour=Hamming
RandomGreedyMLS,0.9994423614151103,0.003857602772440155,0.96,797.06,582.261860229185,restart=False; nbour=adjacent
RandomGreedyMLS,0.9982312588420975,0.006516248080496122,0.72,1192.98,700.1167683949265,restart=True; nbour=Hamming
RandomGreedyMLS,0.9994064268888978,0.0038549769610703335,0.9,798.18,590.433520770103,restart=True; nbour=adjacent
