GEMM_RTX_2070_SUPER_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
RandomGreedyMLS,0.6246353445043187,0.33439601765976945,0.0,25,0.0,restart=False; nbour=Hamming
RandomGreedyMLS,0.46440197613416107,0.4165949716840853,0.0,25,0.0,restart=False; nbour=adjacent
RandomGreedyMLS,0.5020356304959736,0.36940246544923827,0.0,25,0.0,restart=True; nbour=Hamming
RandomGreedyMLS,0.48846544692542543,0.3514610810544499,0.0,25,0.0,restart=True; nbour=adjacent
RandomGreedyMLS,0.7632294658694202,0.3048880923820063,0.05,50,0.0,restart=False; nbour=Hamming
RandomGreedyMLS,0.7429241643416679,0.22739016240088986,0.05,49.9,0.4472135954999579,restart=False; nbour=adjacent
RandomGreedyMLS,0.8195742544496576,0.2082372055179658,0.05,50,0.0,restart=True; nbour=Hamming
RandomGreedyMLS,0.7625776135267863,0.23404352921998206,0.05,50,0.0,restart=True; nbour=adjacent
RandomGreedyMLS,0.9109597064528583,0.06499062055920889,0.05,100,0.0,restart=False; nbour=Hamming
RandomGreedyMLS,0.9176984137734511,0.06218812152061926,0.2,94.35,13.899166957241112,restart=False; nbour=adjacent
RandomGreedyMLS,0.9110679152177874,0.0811671462305714,0.15,98,8.94427190999916,restart=True; nbour=Hamming
RandomGreedyMLS,0.8774658610600078,0.06395240579090165,0.1,95.6,15.46268853861143,restart=True; nbour=adjacent
RandomGreedyMLS,0.9374298914006355,0.04855834587943288,0.25,186.45,29.510881133289764,restart=False; nbour=Hamming
RandomGreedyMLS,0.9315840049293872,0.051916625884475466,0.15,184.35,45.45011724841573,restart=False; nbour=adjacent
RandomGreedyMLS,0.9233540410223363,0.05836502302936486,0.2,192.75,22.680562046317153,restart=True; nbour=Hamming
RandomGreedyMLS,0.9485629678288858,0.05113465603771974,0.2,182.75,36.86086928180786,restart=True; nbour=adjacent
RandomGreedyMLS,0.9848456755873775,0.028230930861747626,0.5,281.1,141.38298118380817,restart=False; nbour=Hamming
RandomGreedyMLS,0.9753513359743207,0.03907965574488866,0.55,318.65,121.56275182628497,restart=False; nbour=adjacent
RandomGreedyMLS,0.9672648154926602,0.04785405019021049,0.6,259.1,137.22854544230412,restart=True; nbour=Hamming
RandomGreedyMLS,0.9796735187334885,0.03063147165695325,0.5,280.2,137.56208167874414,restart=True; nbour=adjacent
RandomGreedyMLS,0.9873407475882252,0.024293722977082,0.65,561.75,252.26153408505897,restart=False; nbour=Hamming
RandomGreedyMLS,0.9971710985733663,0.012651231783198352,0.95,367.4,273.55619070619514,restart=False; nbour=adjacent
RandomGreedyMLS,0.9964426295742984,0.012604784464941036,0.8,411.15,251.62802015339187,restart=True; nbour=Hamming
RandomGreedyMLS,0.9940993741470432,0.017365095237934135,0.85,416.35,286.2101316754601,restart=True; nbour=adjacent
RandomGreedyMLS,0.9997571770003107,0.0010859374676112784,0.95,608.45,442.2136272270034,restart=False; nbour=Hamming
RandomGreedyMLS,1.0,0.0,1.0,456.8,273.17694285071565,restart=False; nbour=adjacent
RandomGreedyMLS,1.0,0.0,1.0,483.8,322.4709860469702,restart=True; nbour=Hamming
RandomGreedyMLS,1.0,0.0,1.0,488.05,350.964306927132,restart=True; nbour=adjacent
