convolution_GTX_1080Ti_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
RandomGreedyMLS,0.3600629078821544,0.30524068289221706,0.0,25,0.0,restart=False; nbour=Hamming
RandomGreedyMLS,0.5877847018573178,0.2997916884326473,0.0,25,0.0,restart=False; nbour=adjacent
RandomGreedyMLS,0.5447975896351451,0.27504709726034793,0.0,25,0.0,restart=True; nbour=Hamming
RandomGreedyMLS,0.4609686919799932,0.3703541412123123,0.05,25,0.0,restart=True; nbour=adjacent
RandomGreedyMLS,0.6724056855776622,0.2332941647144548,0.0,50,0.0,restart=False; nbour=Hamming
RandomGreedyMLS,0.7814133740401581,0.1593006255156127,0.0,50,0.0,restart=False; nbour=adjacent
RandomGreedyMLS,0.7616916992428001,0.20453376420947,0.05,50,0.0,restart=True; nbour=Hamming
RandomGreedyMLS,0.8158289742613751,0.13558943615480057,0.05,49.65,1.5652475842498528,restart=True; nbour=adjacent
RandomGreedyMLS,0.9080733418189582,0.09495199322247852,0.35,97.8,6.955497636288942,restart=False; nbour=Hamming
RandomGreedyMLS,0.8679894020336189,0.06892660535059023,0.1,95.65,17.451511772849216,restart=False; nbour=adjacent
RandomGreedyMLS,0.8491754351808006,0.09697736340753596,0.1,97.55,8.274723719350328,restart=True; nbour=Hamming
RandomGreedyMLS,0.8533615116229918,0.06883704281086238,0.0,100,0.0,restart=True; nbour=adjacent
RandomGreedyMLS,0.946086985516066,0.08392349097005927,0.6,155.95,52.22368387900969,restart=False; nbour=Hamming
RandomGreedyMLS,0.8563621004407472,0.0621324589748423,0.0,200,0.0,restart=False; nbour=adjacent
RandomGreedyMLS,0.8749777425510346,0.0905050307869123,0.2,183.05,40.631171595994594,restart=True; nbour=Hamming
RandomGreedyMLS,0.897658369990849,0.03927291308603417,0.05,193.4,29.516097302997224,restart=True; nbour=adjacent
RandomGreedyMLS,0.9794066167804408,0.03862990343141933,0.75,260.6,129.5861428589208,restart=False; nbour=Hamming
RandomGreedyMLS,0.9603764449208612,0.04670050857435929,0.55,286.15,132.60716619517888,restart=False; nbour=adjacent
RandomGreedyMLS,0.9519613157468885,0.05017050911127523,0.5,281,131.0504121562225,restart=True; nbour=Hamming
RandomGreedyMLS,0.9501931586896276,0.043175869036233695,0.4,324.8,106.67343180301073,restart=True; nbour=adjacent
RandomGreedyMLS,0.9914736026637954,0.026243697264667278,0.9,332.4,232.27103043416193,restart=False; nbour=Hamming
RandomGreedyMLS,0.9648112558303951,0.039913246388385795,0.55,539.2,283.23945606797827,restart=False; nbour=adjacent
RandomGreedyMLS,0.9951152951342306,0.02184506425976876,0.95,323.2,241.10242418393148,restart=True; nbour=Hamming
RandomGreedyMLS,0.9600028401605974,0.04122219664571751,0.5,594.15,245.39447834048752,restart=True; nbour=adjacent
RandomGreedyMLS,1.0,0.0,1.0,401.7,297.8466754980877,restart=False; nbour=Hamming
RandomGreedyMLS,0.979905446969345,0.03577899939713121,0.75,847.9,576.8223205404627,restart=False; nbour=adjacent
RandomGreedyMLS,1.0,0.0,1.0,496.8,324.5986347540768,restart=True; nbour=Hamming
RandomGreedyMLS,0.9765408372202634,0.03676538335761943,0.7,1102.45,492.399653148794,restart=True; nbour=adjacent
