convolution_P100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
RandomGreedyMLS,0.6762876424105522,0.2543997276474158,0.0,25,0.0,restart=False; nbour=Hamming
RandomGreedyMLS,0.5376727348579532,0.36768729260561706,0.0,25,0.0,restart=False; nbour=adjacent
RandomGreedyMLS,0.5568125255357743,0.3656328214091698,0.05,25,0.0,restart=True; nbour=Hamming
RandomGreedyMLS,0.6657117611801056,0.2900459019082604,0.05,24.8,0.8944271909999159,restart=True; nbour=adjacent
RandomGreedyMLS,0.8153315357417298,0.14548375920755527,0.05,49.45,2.4596747752497685,restart=False; nbour=Hamming
RandomGreedyMLS,0.7360405082185076,0.2298310330553476,0.0,50,0.0,restart=False; nbour=adjacent
RandomGreedyMLS,0.8256357161781929,0.12058030791587537,0.1,50,0.0,restart=True; nbour=Hamming
RandomGreedyMLS,0.8370383882464834,0.21980490554449242,0.2,46.2,9.434539009182668,restart=True; nbour=adjacent
RandomGreedyMLS,0.9190208848797292,0.05052547787469139,0.15,98.55,4.465953072089458,restart=False; nbour=Hamming
RandomGreedyMLS,0.9409772732279134,0.0605848360474328,0.4,86.75,22.023611731144612,restart=False; nbour=adjacent
RandomGreedyMLS,0.9172244521682141,0.08286066624911594,0.35,92.55,15.54780404193196,restart=True; nbour=Hamming
RandomGreedyMLS,0.9040881161972727,0.07672937721173173,0.2,93.6,17.792369742466335,restart=True; nbour=adjacent
RandomGreedyMLS,0.9670513264522351,0.034487353166438715,0.45,180.5,36.46988664061005,restart=False; nbour=Hamming
RandomGreedyMLS,0.965635731960685,0.0531362806094881,0.65,135.35,66.40646369934656,restart=False; nbour=adjacent
RandomGreedyMLS,0.9478431734789172,0.03588414036669336,0.3,174.75,48.72681634971597,restart=True; nbour=Hamming
RandomGreedyMLS,0.9426580941082376,0.047874660174013484,0.25,176.25,45.9964243461552,restart=True; nbour=adjacent
RandomGreedyMLS,0.9694771382607307,0.04012977809460876,0.6,303.2,104.86010731094622,restart=False; nbour=Hamming
RandomGreedyMLS,0.9953193535957241,0.017645008853078823,0.9,181.55,118.84818932261088,restart=False; nbour=adjacent
RandomGreedyMLS,0.9765100612428907,0.03375078035713995,0.65,259.8,135.04837339966275,restart=True; nbour=Hamming
RandomGreedyMLS,0.9771400411212283,0.03487290686020494,0.55,293.15,126.32217582539954,restart=True; nbour=adjacent
RandomGreedyMLS,0.9921515758213236,0.01916833971800993,0.85,305.2,235.7935314500468,restart=False; nbour=Hamming
RandomGreedyMLS,0.9976891967209968,0.005643714109358321,0.85,393.3,253.43391124397905,restart=False; nbour=adjacent
RandomGreedyMLS,0.9908573385696076,0.022849641166306438,0.85,402.15,237.3492374673148,restart=True; nbour=Hamming
RandomGreedyMLS,0.9992297322403323,0.003444742142987084,0.95,245.25,245.55391197089597,restart=True; nbour=adjacent
RandomGreedyMLS,1.0,0.0,1.0,347.75,352.15320753749694,restart=False; nbour=Hamming
RandomGreedyMLS,1.0,0.0,1.0,399.9,273.8610673508126,restart=False; nbour=adjacent
RandomGreedyMLS,1.0,0.0,1.0,403.6,283.70080607643865,restart=True; nbour=Hamming
RandomGreedyMLS,1.0,0.0,1.0,231.25,140.5866936130608,restart=True; nbour=adjacent
