convolution_RTX_2070_SUPER_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
RandomGreedyMLS,0.4250135995904328,0.2985866330003848,0.0,25,0.0,restart=False; nbour=Hamming
RandomGreedyMLS,0.37949500740793,0.3238072606195932,0.0,25,0.0,restart=False; nbour=adjacent
RandomGreedyMLS,0.5353711438319653,0.2929489985673683,0.0,25,0.0,restart=True; nbour=Hamming
RandomGreedyMLS,0.5392605460882699,0.3375936443910475,0.0,25,0.0,restart=True; nbour=adjacent
RandomGreedyMLS,0.7643483857282494,0.22065271734410583,0.0,50,0.0,restart=False; nbour=Hamming
RandomGreedyMLS,0.7739005150207439,0.14248629323137876,0.0,50,0.0,restart=False; nbour=adjacent
RandomGreedyMLS,0.699134809482212,0.19664879553232087,0.0,50,0.0,restart=True; nbour=Hamming
RandomGreedyMLS,0.696934873109399,0.17085755383037451,0.0,50,0.0,restart=True; nbour=adjacent
RandomGreedyMLS,0.8712704716035048,0.11206060656826945,0.05,97.8,9.838699100999074,restart=False; nbour=Hamming
RandomGreedyMLS,0.8105004736185158,0.10784321977140435,0.0,100,0.0,restart=False; nbour=adjacent
RandomGreedyMLS,0.8639024194699264,0.106731877246621,0.05,99.2,3.5777087639996634,restart=True; nbour=Hamming
RandomGreedyMLS,0.8334495435547686,0.11508521983923453,0.05,97.9,9.391485505499118,restart=True; nbour=adjacent
RandomGreedyMLS,0.9332956929290862,0.05991187478461099,0.1,191.65,31.013197530287513,restart=False; nbour=Hamming
RandomGreedyMLS,0.8975815967660873,0.060822537466990116,0.0,200,0.0,restart=False; nbour=adjacent
RandomGreedyMLS,0.9098199973406007,0.059390475021016007,0.1,196.1,17.44133022449836,restart=True; nbour=Hamming
RandomGreedyMLS,0.8503259876668003,0.07202525443265717,0.0,200,0.0,restart=True; nbour=adjacent
RandomGreedyMLS,0.9387931622563538,0.05047570196597239,0.05,387.75,54.78366544874485,restart=False; nbour=Hamming
RandomGreedyMLS,0.9332098203491552,0.06278336931734645,0.1,375.85,79.11502285979107,restart=False; nbour=adjacent
RandomGreedyMLS,0.9601347683868993,0.04168888207353167,0.3,341.45,106.23730883956767,restart=True; nbour=Hamming
RandomGreedyMLS,0.9417129678502374,0.04923059131508038,0.1,378.65,66.55450872464576,restart=True; nbour=adjacent
RandomGreedyMLS,0.9833992699542106,0.025693649670905733,0.35,658.5,237.36924378431348,restart=False; nbour=Hamming
RandomGreedyMLS,0.9559152987447745,0.03725877323028062,0.15,751.7,158.94689613035445,restart=False; nbour=adjacent
RandomGreedyMLS,0.9895352351445941,0.02208460178490125,0.65,537.2,274.036801216648,restart=True; nbour=Hamming
RandomGreedyMLS,0.97738583468691,0.02505075135858294,0.3,696.7,185.7213815879781,restart=True; nbour=adjacent
RandomGreedyMLS,0.993016397744722,0.007165024733488401,0.5,1231.9,513.7845032593661,restart=False; nbour=Hamming
RandomGreedyMLS,0.9775351115262769,0.029823875395187254,0.45,1155.15,568.0603447373861,restart=False; nbour=adjacent
RandomGreedyMLS,0.9941438957664527,0.02007712491948052,0.85,922.55,503.5277105216334,restart=True; nbour=Hamming
RandomGreedyMLS,0.9800299987496545,0.021216878277740246,0.35,1357.3,428.69755011392846,restart=True; nbour=adjacent
