pnpoly_RTX_2070_SUPER_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
RandomGreedyMLS,0.8630027423549791,0.1432853268778213,0.0,25,0.0,restart=False; nbour=Hamming
RandomGreedyMLS,0.9503893638080687,0.0373245726374857,0.0,25,0.0,restart=False; nbour=adjacent
RandomGreedyMLS,0.9670432372408458,0.04708897860191708,0.0,25,0.0,restart=True; nbour=Hamming
RandomGreedyMLS,0.9704957424322458,0.035889070467576015,0.0,25,0.0,restart=True; nbour=adjacent
RandomGreedyMLS,0.9824443802413583,0.01113766293762862,0.0,50,0.0,restart=False; nbour=Hamming
RandomGreedyMLS,0.9710776723339287,0.027113794114251702,0.05,48.35,7.379024325749306,restart=False; nbour=adjacent
RandomGreedyMLS,0.9723261428983602,0.04144225122999684,0.05,50,0.0,restart=True; nbour=Hamming
RandomGreedyMLS,0.9749481616881931,0.028796037930835898,0.0,50,0.0,restart=True; nbour=adjacent
RandomGreedyMLS,0.9878638806346894,0.007077311938139945,0.15,100,0.0,restart=False; nbour=Hamming
RandomGreedyMLS,0.9844949357704144,0.013673892518404167,0.05,100,0.0,restart=False; nbour=adjacent
RandomGreedyMLS,0.9665466944875778,0.05982720649480902,0.1,99.2,3.3497839678968773,restart=True; nbour=Hamming
RandomGreedyMLS,0.9871226453067838,0.008778291440481232,0.0,100,0.0,restart=True; nbour=adjacent
RandomGreedyMLS,0.9918146126656956,0.005726942667242274,0.1,193.8,23.83186721045672,restart=False; nbour=Hamming
RandomGreedyMLS,0.9949335900122604,0.004884251238759793,0.1,196.15,17.217723426748382,restart=False; nbour=adjacent
RandomGreedyMLS,0.9956003635512835,0.005073400467200681,0.3,189.05,28.62364683080646,restart=True; nbour=Hamming
RandomGreedyMLS,0.9921087511147658,0.007491308546373817,0.15,184.85,37.63295728060991,restart=True; nbour=adjacent
RandomGreedyMLS,0.9953444177274153,0.005376521619531681,0.5,319.6,97.6434976410562,restart=False; nbour=Hamming
RandomGreedyMLS,0.9961930440027517,0.0035282144758338446,0.1,367.15,102.99784106066444,restart=False; nbour=adjacent
RandomGreedyMLS,0.9960916629396588,0.004604569903432702,0.35,349.35,90.2804256921615,restart=True; nbour=Hamming
RandomGreedyMLS,0.9965957464443226,0.004674665803664631,0.25,362.3,94.52212216696877,restart=True; nbour=adjacent
RandomGreedyMLS,0.9994095664356943,0.0024971245214492695,0.85,406.3,268.22341433961356,restart=False; nbour=Hamming
RandomGreedyMLS,0.9980918824344127,0.0032779091968954083,0.4,655.7,254.81285186129097,restart=False; nbour=adjacent
RandomGreedyMLS,0.9990041954651833,0.002345347780115254,0.75,582.25,228.33951521917163,restart=True; nbour=Hamming
RandomGreedyMLS,0.9989386886912015,0.0019159414312770304,0.35,628.5,286.64548065327557,restart=True; nbour=adjacent
RandomGreedyMLS,1.0,0.0,1.0,390.4,204.9943259805269,restart=False; nbour=Hamming
RandomGreedyMLS,0.9996619142282978,0.0004954000928332478,0.5,1284.8,388.0603045919538,restart=False; nbour=adjacent
RandomGreedyMLS,1.0,0.0,1.0,599.65,346.3825501560833,restart=True; nbour=Hamming
RandomGreedyMLS,0.9995617624993715,0.0014327654271563256,0.75,820.9,587.050692691418,restart=True; nbour=adjacent
