GEMM_GTX_1080Ti_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
Tabu search,0.4893103878547558,0.3330653205426419,0.0,25,0.0,tabu_size=4; nbour=Hamming
Tabu search,0.4479304183213244,0.4253155797011583,0.05,24.25,3.3541019662496847,tabu_size=4; nbour=adjacent
Tabu search,0.4839974734387946,0.34670950462955075,0.0,25,0.0,tabu_size=8; nbour=Hamming
Tabu search,0.3006181273012371,0.38507788839320223,0.0,25,0.0,tabu_size=8; nbour=adjacent
Tabu search,0.4822137126109868,0.3417883167293483,0.0,25,0.0,tabu_size=16; nbour=Hamming
Tabu search,0.2948459035550012,0.3789336254587106,0.0,25,0.0,tabu_size=16; nbour=adjacent
Tabu search,0.5538620201596641,0.3382908350303206,0.0,25,0.0,tabu_size=32; nbour=Hamming
Tabu search,0.2372682187568793,0.37948139956950466,0.0,25,0.0,tabu_size=32; nbour=adjacent
Tabu search,0.5108303548868163,0.3705796605846619,0.0,25,0.0,tabu_size=64; nbour=Hamming
Tabu search,0.4220890130753613,0.377245753138037,0.0,25,0.0,tabu_size=64; nbour=adjacent
Tabu search,0.5893978090201356,0.320849568720123,0.0,25,0.0,tabu_size=100; nbour=Hamming
Tabu search,0.31832859170052163,0.3788532016300641,0.0,25,0.0,tabu_size=100; nbour=adjacent
Tabu search,0.47172914519596737,0.3018447971251992,0.0,25,0.0,tabu_size=200; nbour=Hamming
Tabu search,0.39765184622270666,0.4116099744885073,0.0,25,0.0,tabu_size=200; nbour=adjacent
Tabu search,0.4447278736011077,0.34246101970392356,0.0,25,0.0,tabu_size=400; nbour=Hamming
Tabu search,0.38947245809737785,0.3784609633675198,0.0,25,0.0,tabu_size=400; nbour=adjacent
Tabu search,0.5434712643636926,0.3408126452816186,0.05,25,0.0,tabu_size=700; nbour=Hamming
Tabu search,0.36377318992414054,0.39629482639237684,0.0,25,0.0,tabu_size=700; nbour=adjacent
Tabu search,0.45223758172996276,0.39259435476637544,0.0,25,0.0,tabu_size=1000; nbour=Hamming
Tabu search,0.3612856808826165,0.4059926616410932,0.05,24.55,2.0124611797498106,tabu_size=1000; nbour=adjacent
Tabu search,0.5438186533960582,0.3784208299870403,0.0,25,0.0,tabu_size=2000; nbour=Hamming
Tabu search,0.511936425259113,0.40532696154713094,0.05,24.5,2.23606797749979,tabu_size=2000; nbour=adjacent
Tabu search,0.7676970848005105,0.26348214228704764,0.1,49.4,2.6832815729997477,tabu_size=4; nbour=Hamming
Tabu search,0.4807177388500297,0.4530272617615926,0.15,48.05,6.74712414370199,tabu_size=4; nbour=adjacent
Tabu search,0.5312838839379609,0.41716547955155725,0.0,50,0.0,tabu_size=8; nbour=Hamming
Tabu search,0.5567464136205238,0.4301080928589033,0.1,48.95,4.695742752749559,tabu_size=8; nbour=adjacent
Tabu search,0.6859743785426652,0.3776880202152003,0.15,47.45,6.999812027551356,tabu_size=16; nbour=Hamming
Tabu search,0.6566372881670806,0.3711397456997227,0.05,48.8,5.366563145999495,tabu_size=16; nbour=adjacent
Tabu search,0.6034336382188142,0.3788066654029318,0.05,49.95,0.22360679774997896,tabu_size=32; nbour=Hamming
Tabu search,0.44642264611633115,0.4360974071372081,0.0,50,0.0,tabu_size=32; nbour=adjacent
Tabu search,0.5976708958693321,0.38795312213280564,0.05,49.65,1.5652475842498528,tabu_size=64; nbour=Hamming
Tabu search,0.616028393981843,0.41087626242174696,0.1,46.85,9.76176752761291,tabu_size=64; nbour=adjacent
Tabu search,0.6641396346339683,0.3144241625364255,0.0,50,0.0,tabu_size=100; nbour=Hamming
Tabu search,0.596829722860876,0.41679308189326414,0.15,48.7,4.0535884037934125,tabu_size=100; nbour=adjacent
Tabu search,0.6355173372007609,0.43358289038946085,0.2,47.8,5.717931168010443,tabu_size=200; nbour=Hamming
Tabu search,0.5262021853108451,0.44318652300183076,0.0,50,0.0,tabu_size=200; nbour=adjacent
Tabu search,0.5745808198174479,0.3890572792430977,0.0,50,0.0,tabu_size=400; nbour=Hamming
Tabu search,0.5586286356093567,0.38679346960472266,0.0,50,0.0,tabu_size=400; nbour=adjacent
Tabu search,0.6601167176946109,0.35838254979781037,0.05,49.5,2.23606797749979,tabu_size=700; nbour=Hamming
Tabu search,0.37075963431812353,0.42566723342492907,0.05,49.75,1.118033988749895,tabu_size=700; nbour=adjacent
