GEMM_P100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
Tabu search,0.64392952186063,0.35941492859394786,0.0,25,0.0,tabu_size=4; nbour=Hamming
Tabu search,0.3178270295728696,0.4244421368416653,0.0,25,0.0,tabu_size=4; nbour=adjacent
Tabu search,0.5885861345972082,0.3672517611250048,0.0,25,0.0,tabu_size=8; nbour=Hamming
Tabu search,0.2957891713948129,0.42298425828716696,0.0,25,0.0,tabu_size=8; nbour=adjacent
Tabu search,0.4741255733181045,0.41996335244403293,0.0,25,0.0,tabu_size=16; nbour=Hamming
Tabu search,0.3343420892559352,0.4277832568995535,0.05,25,0.0,tabu_size=16; nbour=adjacent
Tabu search,0.5929632626073233,0.3896463442965908,0.0,25,0.0,tabu_size=32; nbour=Hamming
Tabu search,0.4262648806633802,0.4393541289303742,0.0,25,0.0,tabu_size=32; nbour=adjacent
Tabu search,0.4314358383146172,0.4471680485911172,0.0,25,0.0,tabu_size=64; nbour=Hamming
Tabu search,0.2791596513613844,0.40013062233064506,0.0,25,0.0,tabu_size=64; nbour=adjacent
Tabu search,0.6667186764791341,0.3620448533932781,0.0,25,0.0,tabu_size=100; nbour=Hamming
Tabu search,0.39771565075430615,0.4382951462852332,0.05,23.9,4.919349550499537,tabu_size=100; nbour=adjacent
Tabu search,0.5694149855140423,0.412978554656778,0.0,25,0.0,tabu_size=200; nbour=Hamming
Tabu search,0.34725155817364717,0.44254663090479524,0.0,25,0.0,tabu_size=200; nbour=adjacent
Tabu search,0.5412034447642942,0.3999054801941811,0.0,25,0.0,tabu_size=400; nbour=Hamming
Tabu search,0.2811739487129513,0.4007359396307529,0.0,25,0.0,tabu_size=400; nbour=adjacent
Tabu search,0.45012647125427785,0.41054570784112004,0.0,25,0.0,tabu_size=700; nbour=Hamming
Tabu search,0.40730649606103536,0.4267293019537174,0.0,25,0.0,tabu_size=700; nbour=adjacent
Tabu search,0.4578018067968844,0.41172487857245577,0.0,25,0.0,tabu_size=1000; nbour=Hamming
Tabu search,0.5203805565973059,0.4426989244106895,0.0,25,0.0,tabu_size=1000; nbour=adjacent
