GEMM_RTX_2070_SUPER_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
Tabu search,0.5553861173247985,0.33668424546974435,0.0,25,0.0,tabu_size=4; nbour=Hamming
Tabu search,0.31805621282185864,0.40682802840373045,0.0,25,0.0,tabu_size=4; nbour=adjacent
Tabu search,0.5890610660997738,0.28604482495146105,0.0,25,0.0,tabu_size=8; nbour=Hamming
Tabu search,0.28691376816265635,0.3808529825225678,0.0,25,0.0,tabu_size=8; nbour=adjacent
Tabu search,0.5902808444849229,0.3364488111147424,0.0,25,0.0,tabu_size=16; nbour=Hamming
Tabu search,0.41193437789601484,0.4328477133260767,0.0,25,0.0,tabu_size=16; nbour=adjacent
Tabu search,0.43866545217214664,0.34067638255362664,0.0,25,0.0,tabu_size=32; nbour=Hamming
Tabu search,0.15146649951001193,0.275386773485928,0.0,25,0.0,tabu_size=32; nbour=adjacent
Tabu search,0.5869045106385117,0.3704711950661999,0.05,24.05,4.2485291572496005,tabu_size=64; nbour=Hamming
Tabu search,0.4419189212363257,0.39944623779346844,0.05,24.5,2.23606797749979,tabu_size=64; nbour=adjacent
Tabu search,0.552090436692808,0.31613765222236595,0.0,25,0.0,tabu_size=100; nbour=Hamming
Tabu search,0.5546350427067692,0.38487695527038224,0.0,25,0.0,tabu_size=100; nbour=adjacent
Tabu search,0.39223358577035233,0.40044653868793284,0.0,25,0.0,tabu_size=200; nbour=Hamming
Tabu search,0.4768415549866057,0.4088916558799949,0.0,25,0.0,tabu_size=200; nbour=adjacent
Tabu search,0.5721174618648948,0.33626527962667796,0.0,25,0.0,tabu_size=400; nbour=Hamming
Tabu search,0.39630088067372166,0.4084743085063279,0.0,25,0.0,tabu_size=400; nbour=adjacent
Tabu search,0.4875477418582954,0.3318261927725583,0.0,25,0.0,tabu_size=700; nbour=Hamming
Tabu search,0.46332407133616704,0.40488905590125485,0.0,25,0.0,tabu_size=700; nbour=adjacent
Tabu search,0.39053337517417097,0.3753646035447158,0.0,25,0.0,tabu_size=1000; nbour=Hamming
Tabu search,0.3330270699789771,0.4256234834394979,0.05,24.9,0.4472135954999579,tabu_size=1000; nbour=adjacent
Tabu search,0.4783239996141306,0.37653864576290585,0.0,25,0.0,tabu_size=2000; nbour=Hamming
Tabu search,0.313315381149445,0.39870380383930154,0.0,25,0.0,tabu_size=2000; nbour=adjacent
Tabu search,0.6844384249282041,0.37465940544713655,0.05,48.4,7.155417527999327,tabu_size=4; nbour=Hamming
Tabu search,0.3254466665805949,0.45896523693403,0.15,47.8,8.27551874665968,tabu_size=4; nbour=adjacent
Tabu search,0.5364391827879104,0.4158298300488839,0.0,50,0.0,tabu_size=8; nbour=Hamming
Tabu search,0.5952667465364183,0.4130755067734115,0.1,49.05,3.42552339450715,tabu_size=8; nbour=adjacent
Tabu search,0.4878353735711058,0.41360243958059667,0.0,50,0.0,tabu_size=16; nbour=Hamming
Tabu search,0.5351160660648658,0.42644126654164366,0.1,46.4,11.38050040524072,tabu_size=16; nbour=adjacent
Tabu search,0.6233510889372456,0.3748373106581663,0.0,50,0.0,tabu_size=32; nbour=Hamming
Tabu search,0.3982825954084669,0.42792460720700864,0.05,49.95,0.22360679774997896,tabu_size=32; nbour=adjacent
Tabu search,0.4973818112629796,0.42733337313366504,0.0,50,0.0,tabu_size=64; nbour=Hamming
Tabu search,0.48340803337911387,0.45791694344236267,0.15,47.45,8.556161214986666,tabu_size=64; nbour=adjacent
Tabu search,0.7081524458179271,0.32323095530215246,0.05,49.8,0.8944271909999159,tabu_size=100; nbour=Hamming
Tabu search,0.3885934706981033,0.42768143182517787,0.0,50,0.0,tabu_size=100; nbour=adjacent
Tabu search,0.6804389425374151,0.33076314727570777,0.05,48.55,6.48459713474939,tabu_size=200; nbour=Hamming
Tabu search,0.33521969564743437,0.4299042066276499,0.05,49.25,3.3541019662496847,tabu_size=200; nbour=adjacent
Tabu search,0.676585466701836,0.330091091039799,0.05,48.95,4.695742752749559,tabu_size=400; nbour=Hamming
Tabu search,0.565546677804245,0.4301554363655424,0.05,49.7,1.3416407864998738,tabu_size=400; nbour=adjacent
Tabu search,0.6310660065237232,0.3862387637800791,0.0,50,0.0,tabu_size=700; nbour=Hamming
Tabu search,0.49685504988765344,0.465121906541596,0.2,47.95,4.828370107472795,tabu_size=700; nbour=adjacent
Tabu search,0.6128342003092873,0.37031663558709316,0.0,50,0.0,tabu_size=1000; nbour=Hamming
Tabu search,0.4749336850371277,0.42060719982784617,0.0,50,0.0,tabu_size=1000; nbour=adjacent
Tabu search,0.5570365912821615,0.42431311102568936,0.0,50,0.0,tabu_size=2000; nbour=Hamming
Tabu search,0.5320335975888945,0.4497066246789817,0.1,48.8,4.916138835776668,tabu_size=2000; nbour=adjacent
Tabu search,0.630803500907237,0.4107749567483579,0.2,94.9,10.900989815029112,tabu_size=4; nbour=Hamming
Tabu search,0.6832449024400572,0.3788961782974412,0.15,92.2,22.347965879412122,tabu_size=4; nbour=adjacent
Tabu search,0.7658085388273806,0.34663834509886937,0.3,90.05,21.563797634485738,tabu_size=8; nbour=Hamming
Tabu search,0.5829768130578742,0.44970601736839994,0.15,93.05,18.599589695531062,tabu_size=8; nbour=adjacent
Tabu search,0.770214717629463,0.33822318917943317,0.25,88.25,23.039725418685464,tabu_size=16; nbour=Hamming
Tabu search,0.6977511680410783,0.3863763824688888,0.2,93.8,13.8472874029917,tabu_size=16; nbour=adjacent
Tabu search,0.7973171226726448,0.29873163884669746,0.2,96.4,8.90535025464438,tabu_size=32; nbour=Hamming
Tabu search,0.5785980676791284,0.42737798625294016,0.2,91.05,19.850692683128212,tabu_size=32; nbour=adjacent
Tabu search,0.8864464951896562,0.07639438938955168,0.15,94.9,16.76744966955478,tabu_size=64; nbour=Hamming
Tabu search,0.72164016672745,0.3483044571782104,0.1,97.2,10.787907460134289,tabu_size=64; nbour=adjacent
Tabu search,0.7070374520951169,0.36706148070159944,0.05,98.95,4.695742752749559,tabu_size=100; nbour=Hamming
Tabu search,0.7949560374406439,0.2964115073949349,0.25,92.65,18.641422466618458,tabu_size=100; nbour=adjacent
Tabu search,0.8582325918126876,0.21837974785217845,0.2,94.1,14.07087323815443,tabu_size=200; nbour=Hamming
Tabu search,0.7107516556662862,0.3479033981522466,0.1,96.1,13.349157276772193,tabu_size=200; nbour=adjacent
Tabu search,0.7304313650354592,0.3365526015167411,0.1,95.3,14.466294764400672,tabu_size=400; nbour=Hamming
Tabu search,0.5720729881299714,0.43491631226666455,0.1,95.1,18.495803222409815,tabu_size=400; nbour=adjacent
Tabu search,0.6740645646383806,0.38354194250225826,0.0,100,0.0,tabu_size=700; nbour=Hamming
