convolution_GTX_1080Ti_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
Tabu search,0.49557357189249207,0.3557129638837108,0.0,25,0.0,tabu_size=4; nbour=Hamming
Tabu search,0.4851588210945756,0.3235704738854995,0.0,25,0.0,tabu_size=4; nbour=adjacent
Tabu search,0.4934780036724875,0.28098573859590154,0.0,25,0.0,tabu_size=8; nbour=Hamming
Tabu search,0.2352394929428468,0.33783376054071973,0.0,25,0.0,tabu_size=8; nbour=adjacent
Tabu search,0.5062669167403776,0.3070975866806402,0.0,25,0.0,tabu_size=16; nbour=Hamming
Tabu search,0.4029859462581235,0.37156343894256005,0.0,25,0.0,tabu_size=16; nbour=adjacent
Tabu search,0.49243319036651817,0.29263387236552557,0.0,25,0.0,tabu_size=32; nbour=Hamming
Tabu search,0.46107951042968326,0.40101381591820484,0.0,25,0.0,tabu_size=32; nbour=adjacent
Tabu search,0.4706274955326027,0.3117618462297452,0.0,25,0.0,tabu_size=64; nbour=Hamming
Tabu search,0.4690267897868805,0.4081022427712485,0.05,23.95,4.695742752749559,tabu_size=64; nbour=adjacent
Tabu search,0.42786475930931056,0.3365084180547221,0.0,25,0.0,tabu_size=100; nbour=Hamming
Tabu search,0.5094526166319295,0.3664407876821286,0.0,25,0.0,tabu_size=100; nbour=adjacent
Tabu search,0.5570818668973411,0.23580555542497544,0.0,25,0.0,tabu_size=200; nbour=Hamming
Tabu search,0.4249972003603317,0.35714036200018096,0.0,25,0.0,tabu_size=200; nbour=adjacent
Tabu search,0.6287716765517563,0.2836133551939863,0.0,25,0.0,tabu_size=400; nbour=Hamming
Tabu search,0.5868362580574278,0.33897847258945774,0.05,24.8,0.8944271909999159,tabu_size=400; nbour=adjacent
Tabu search,0.5699414975858385,0.24616518834129902,0.0,25,0.0,tabu_size=700; nbour=Hamming
Tabu search,0.2946127883386176,0.41479430596409556,0.0,25,0.0,tabu_size=700; nbour=adjacent
Tabu search,0.521449163947594,0.25727855301973446,0.0,25,0.0,tabu_size=1000; nbour=Hamming
Tabu search,0.5850892193390991,0.3295644378681706,0.0,25,0.0,tabu_size=1000; nbour=adjacent
