convolution_P100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
Tabu search,0.711553051392566,0.21582057318080214,0.0,25,0.0,tabu_size=4; nbour=Hamming
Tabu search,0.3786246695813542,0.43508808751064515,0.05,24.95,0.22360679774997896,tabu_size=4; nbour=adjacent
Tabu search,0.6874988415465545,0.31759500024234083,0.05,25,0.0,tabu_size=8; nbour=Hamming
Tabu search,0.5963226651781109,0.42425838897508655,0.15,23.4,4.0183788299577525,tabu_size=8; nbour=adjacent
Tabu search,0.7036326922605585,0.24387246707281612,0.0,25,0.0,tabu_size=16; nbour=Hamming
Tabu search,0.20464291210618976,0.3261514490290502,0.0,25,0.0,tabu_size=16; nbour=adjacent
Tabu search,0.7056716883842802,0.23108584884289277,0.0,25,0.0,tabu_size=32; nbour=Hamming
Tabu search,0.48464969132287855,0.41410696962853416,0.05,24.9,0.4472135954999579,tabu_size=32; nbour=adjacent
Tabu search,0.62061291929575,0.29655460473574813,0.0,25,0.0,tabu_size=64; nbour=Hamming
Tabu search,0.42053236302925673,0.39240312742747324,0.0,25,0.0,tabu_size=64; nbour=adjacent
Tabu search,0.5426560108634458,0.3135173594716879,0.0,25,0.0,tabu_size=100; nbour=Hamming
Tabu search,0.4082840944382217,0.38793917789589794,0.0,25,0.0,tabu_size=100; nbour=adjacent
Tabu search,0.521461367080888,0.3532017497094141,0.0,25,0.0,tabu_size=200; nbour=Hamming
Tabu search,0.3984327368124078,0.418045941312008,0.05,24.75,1.118033988749895,tabu_size=200; nbour=adjacent
Tabu search,0.5852576304096421,0.33092375978704086,0.0,25,0.0,tabu_size=400; nbour=Hamming
Tabu search,0.277529758464298,0.39975386029879295,0.05,24.55,2.0124611797498106,tabu_size=400; nbour=adjacent
Tabu search,0.6266672922147254,0.27773732641198823,0.0,25,0.0,tabu_size=700; nbour=Hamming
Tabu search,0.27384288483328534,0.3747290156749144,0.0,25,0.0,tabu_size=700; nbour=adjacent
Tabu search,0.5441381801326182,0.348822261180325,0.05,24.75,1.118033988749895,tabu_size=1000; nbour=Hamming
Tabu search,0.4361851842317886,0.42536513183869035,0.0,25,0.0,tabu_size=1000; nbour=adjacent
Tabu search,0.47130763342485904,0.37630164168530544,0.0,25,0.0,tabu_size=2000; nbour=Hamming
Tabu search,0.41783132524912714,0.44243675487579787,0.05,24.65,1.5652475842498528,tabu_size=2000; nbour=adjacent
Tabu search,0.8039613627504526,0.22893898614646035,0.05,49.95,0.22360679774997896,tabu_size=4; nbour=Hamming
Tabu search,0.6050230240210196,0.41795710615645426,0.15,46.55,8.666177449080267,tabu_size=4; nbour=adjacent
Tabu search,0.8058001467480258,0.28077131540533645,0.05,49.8,0.8944271909999159,tabu_size=8; nbour=Hamming
Tabu search,0.4531970968012045,0.4668328248705095,0.1,48.45,4.839258316377788,tabu_size=8; nbour=adjacent
Tabu search,0.750865352185447,0.29228394961925774,0.1,48.4,4.935371793172436,tabu_size=16; nbour=Hamming
Tabu search,0.5145912157745263,0.43635038977367563,0.05,49.25,3.3541019662496847,tabu_size=16; nbour=adjacent
Tabu search,0.6963432412055204,0.3670260616744077,0.05,49.35,2.9068883707497264,tabu_size=32; nbour=Hamming
Tabu search,0.6595529841654141,0.3930367495242977,0.05,48.65,6.037383539249432,tabu_size=32; nbour=adjacent
Tabu search,0.7900735269209709,0.2480982137176519,0.1,47.75,6.97269109115208,tabu_size=64; nbour=Hamming
