convolution_RTX_2070_SUPER_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
Tabu search,0.47067882430974184,0.30682486796243696,0.0,25,0.0,tabu_size=4; nbour=Hamming
Tabu search,0.5129809186956508,0.35686167320454076,0.0,25,0.0,tabu_size=4; nbour=adjacent
Tabu search,0.5188467328216031,0.2577318905170906,0.0,25,0.0,tabu_size=8; nbour=Hamming
Tabu search,0.27161577898713507,0.33523738963945493,0.0,25,0.0,tabu_size=8; nbour=adjacent
Tabu search,0.48065959449594375,0.32287889256341906,0.0,25,0.0,tabu_size=16; nbour=Hamming
Tabu search,0.46290571663767555,0.37181796217543495,0.0,25,0.0,tabu_size=16; nbour=adjacent
Tabu search,0.6230051819622359,0.31316548914014913,0.0,25,0.0,tabu_size=32; nbour=Hamming
Tabu search,0.3510917674652986,0.3505178002226025,0.0,25,0.0,tabu_size=32; nbour=adjacent
Tabu search,0.43532305564641227,0.30093786555573315,0.0,25,0.0,tabu_size=64; nbour=Hamming
Tabu search,0.4370729973287712,0.3888291761942098,0.05,24.85,0.6708203932499369,tabu_size=64; nbour=adjacent
Tabu search,0.518302904172469,0.28340537459498305,0.0,25,0.0,tabu_size=100; nbour=Hamming
Tabu search,0.3125801728999509,0.3707264569086068,0.05,24.4,2.6832815729997477,tabu_size=100; nbour=adjacent
Tabu search,0.4987177534842091,0.26857893117351295,0.0,25,0.0,tabu_size=200; nbour=Hamming
Tabu search,0.35758825991401444,0.3876465207609377,0.0,25,0.0,tabu_size=200; nbour=adjacent
Tabu search,0.5330923255640927,0.27965320385820674,0.0,25,0.0,tabu_size=400; nbour=Hamming
Tabu search,0.4686949619655999,0.37881618540877465,0.0,25,0.0,tabu_size=400; nbour=adjacent
Tabu search,0.4146672200640306,0.2953525724645417,0.0,25,0.0,tabu_size=700; nbour=Hamming
Tabu search,0.5104987931138365,0.38069003769741344,0.05,24.75,1.118033988749895,tabu_size=700; nbour=adjacent
Tabu search,0.5420314136884405,0.23648975935303243,0.0,25,0.0,tabu_size=1000; nbour=Hamming
Tabu search,0.26462247737025435,0.35639160335578396,0.0,25,0.0,tabu_size=1000; nbour=adjacent
Tabu search,0.5619327425183774,0.2668755916697586,0.0,25,0.0,tabu_size=2000; nbour=Hamming
Tabu search,0.5014997456513262,0.390853200428392,0.0,25,0.0,tabu_size=2000; nbour=adjacent
Tabu search,0.7385176005700601,0.17706069058468915,0.0,50,0.0,tabu_size=4; nbour=Hamming
Tabu search,0.41386354710664663,0.3956873393732006,0.0,50,0.0,tabu_size=4; nbour=adjacent
Tabu search,0.7384350647269442,0.14386509825549643,0.05,49.85,0.6708203932499369,tabu_size=8; nbour=Hamming
Tabu search,0.4673028234648378,0.3820987159882077,0.0,50,0.0,tabu_size=8; nbour=adjacent
Tabu search,0.6536601842614813,0.31455723563303956,0.0,50,0.0,tabu_size=16; nbour=Hamming
Tabu search,0.6563965869372702,0.35394099366004267,0.0,50,0.0,tabu_size=16; nbour=adjacent
Tabu search,0.6873221253048817,0.19422201865833497,0.0,50,0.0,tabu_size=32; nbour=Hamming
Tabu search,0.35489242364054435,0.3959898630597349,0.0,50,0.0,tabu_size=32; nbour=adjacent
Tabu search,0.7562624969697974,0.25311077850715114,0.05,49.25,3.3541019662496847,tabu_size=64; nbour=Hamming
Tabu search,0.42040998318737904,0.41498440391225794,0.05,49.85,0.6708203932499369,tabu_size=64; nbour=adjacent
