pnpoly_GTX_1080Ti_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
Tabu search,0.7851574159545192,0.11996591980754848,0.0,25,0.0,tabu_size=4; nbour=Hamming
Tabu search,0.8254350708327385,0.07760129717834191,0.0,25,0.0,tabu_size=4; nbour=adjacent
Tabu search,0.8997779042888442,0.1261842011147796,0.1,24.7,0.9787209698591858,tabu_size=8; nbour=Hamming
Tabu search,0.8162489580235814,0.058661637441082104,0.0,25,0.0,tabu_size=8; nbour=adjacent
Tabu search,0.8568720609516717,0.15341389472352102,0.05,24.5,2.23606797749979,tabu_size=16; nbour=Hamming
Tabu search,0.8404997907385711,0.07690896812857946,0.0,25,0.0,tabu_size=16; nbour=adjacent
Tabu search,0.8768566357368341,0.10507499910775675,0.1,23.55,4.53611240926343,tabu_size=32; nbour=Hamming
Tabu search,0.8229972046214377,0.09326674780154628,0.0,25,0.0,tabu_size=32; nbour=adjacent
Tabu search,0.87172725042883,0.11706230031339099,0.0,25,0.0,tabu_size=64; nbour=Hamming
Tabu search,0.8168055631612431,0.07188368855684152,0.0,25,0.0,tabu_size=64; nbour=adjacent
Tabu search,0.8339538538094852,0.14272756210221413,0.05,24.65,1.5652475842498528,tabu_size=100; nbour=Hamming
Tabu search,0.8210806180141172,0.0688325704829038,0.0,25,0.0,tabu_size=100; nbour=adjacent
Tabu search,0.9002554276139002,0.06833608254482755,0.0,25,0.0,tabu_size=200; nbour=Hamming
Tabu search,0.832379338468054,0.0699821568946936,0.0,25,0.0,tabu_size=200; nbour=adjacent
Tabu search,0.8427337505475267,0.13147140102935498,0.0,25,0.0,tabu_size=400; nbour=Hamming
Tabu search,0.8278328364037397,0.0714687930713019,0.0,25,0.0,tabu_size=400; nbour=adjacent
Tabu search,0.8647067729133038,0.1316679542725943,0.0,25,0.0,tabu_size=700; nbour=Hamming
Tabu search,0.7953986060744082,0.050105980604946546,0.0,25,0.0,tabu_size=700; nbour=adjacent
Tabu search,0.8758509515840581,0.10221283328979403,0.05,24.95,0.22360679774997896,tabu_size=1000; nbour=Hamming
Tabu search,0.8180275084649387,0.06112055519274407,0.0,25,0.0,tabu_size=1000; nbour=adjacent
Tabu search,0.9276529948976484,0.09191969982898668,0.1,24.35,2.3004576203785834,tabu_size=2000; nbour=Hamming
Tabu search,0.8383124435026298,0.061548815629233485,0.0,25,0.0,tabu_size=2000; nbour=adjacent
Tabu search,0.8955420837919315,0.12378931571766927,0.15,48.25,5.369259480451755,tabu_size=4; nbour=Hamming
Tabu search,0.8377856981683331,0.0563855352607498,0.0,49.1,4.024922359499621,tabu_size=4; nbour=adjacent
Tabu search,0.9457982635183075,0.0944773764842851,0.2,47.7,6.25846794771944,tabu_size=8; nbour=Hamming
Tabu search,0.8340137797586256,0.08604705708829885,0.1,46.5,11.348545002960094,tabu_size=8; nbour=adjacent
Tabu search,0.9272359372641243,0.08883909790291093,0.25,46.15,7.442940844924984,tabu_size=16; nbour=Hamming
Tabu search,0.8344211525035945,0.06704730012181329,0.05,49.55,2.0124611797498106,tabu_size=16; nbour=adjacent
Tabu search,0.9503026477488377,0.0931755986857791,0.25,47.25,6.273377332657007,tabu_size=32; nbour=Hamming
Tabu search,0.8187196938334909,0.06671244427247319,0.0,50,0.0,tabu_size=32; nbour=adjacent
Tabu search,0.9668496042150428,0.03190332961663694,0.15,47.65,8.737547530177176,tabu_size=64; nbour=Hamming
Tabu search,0.8184344426608445,0.062061030784890135,0.0,50,0.0,tabu_size=64; nbour=adjacent
Tabu search,0.9397785046992816,0.07551183723542558,0.1,46.95,9.784386057710304,tabu_size=100; nbour=Hamming
Tabu search,0.8254944174447509,0.06234120593115978,0.0,50,0.0,tabu_size=100; nbour=adjacent
Tabu search,0.9564401731989214,0.04718225473982153,0.2,48,5.380275868489703,tabu_size=200; nbour=Hamming
Tabu search,0.8357332431390501,0.06665548410744154,0.0,50,0.0,tabu_size=200; nbour=adjacent
Tabu search,0.9539444763608284,0.07795490389945854,0.25,46.4,8.696036604774553,tabu_size=400; nbour=Hamming
Tabu search,0.8192175110907749,0.05856248640269426,0.0,50,0.0,tabu_size=400; nbour=adjacent
Tabu search,0.9687779025210461,0.04764815155074778,0.2,48.2,5.166694963137002,tabu_size=700; nbour=Hamming
Tabu search,0.8374187255458987,0.06914168920726313,0.0,50,0.0,tabu_size=700; nbour=adjacent
Tabu search,0.9547587577516731,0.055700255349805904,0.15,48.95,4.045465297550359,tabu_size=1000; nbour=Hamming
Tabu search,0.8165564739095712,0.06482150386235376,0.0,50,0.0,tabu_size=1000; nbour=adjacent
Tabu search,0.9755157101154611,0.047550401331565205,0.4,44,9.840838646332836,tabu_size=2000; nbour=Hamming
Tabu search,0.8265446190345389,0.06351688019584707,0.0,50,0.0,tabu_size=2000; nbour=adjacent
Tabu search,0.9990529201290541,0.004217734485087423,0.8,63.65,29.78744878741981,tabu_size=4; nbour=Hamming
Tabu search,0.8221408298783405,0.06307425521702592,0.0,81.7,23.859456913570483,tabu_size=4; nbour=adjacent
Tabu search,0.9915981509267684,0.01993806411200453,0.7,71.55,27.75925639835249,tabu_size=8; nbour=Hamming
Tabu search,0.8625498776041071,0.07723925370331962,0.0,96.65,8.737547530177176,tabu_size=8; nbour=adjacent
Tabu search,0.9966029041303691,0.010613608487939259,0.75,73.25,28.561798189005426,tabu_size=16; nbour=Hamming
Tabu search,0.8471660480762656,0.07961035737005169,0.0,100,0.0,tabu_size=16; nbour=adjacent
