pnpoly_P100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
Tabu search,0.8588518162675886,0.12889663132082774,0.0,25,0.0,tabu_size=4; nbour=Hamming
Tabu search,0.7666212776236563,0.06520436804946632,0.0,25,0.0,tabu_size=4; nbour=adjacent
Tabu search,0.8546754493251887,0.1560611327715137,0.0,25,0.0,tabu_size=8; nbour=Hamming
Tabu search,0.8027919423928049,0.07995311032794734,0.05,24.3,3.1304951684997055,tabu_size=8; nbour=adjacent
Tabu search,0.8743853263985286,0.13178837122562656,0.0,25,0.0,tabu_size=16; nbour=Hamming
Tabu search,0.7908258989766368,0.0474388546610909,0.0,25,0.0,tabu_size=16; nbour=adjacent
Tabu search,0.8448097466517273,0.14363247654708852,0.1,24.35,2.1588252165910684,tabu_size=32; nbour=Hamming
Tabu search,0.7626676764055227,0.049783813641840265,0.0,25,0.0,tabu_size=32; nbour=adjacent
Tabu search,0.8702772111415658,0.11436887536751938,0.1,25,0.0,tabu_size=64; nbour=Hamming
Tabu search,0.7998384112982465,0.06517674947121352,0.0,25,0.0,tabu_size=64; nbour=adjacent
Tabu search,0.8968076121908707,0.1042388167311181,0.0,25,0.0,tabu_size=100; nbour=Hamming
Tabu search,0.8058911751144469,0.06436886008792561,0.0,25,0.0,tabu_size=100; nbour=adjacent
Tabu search,0.8746168948550098,0.10783517687255885,0.0,25,0.0,tabu_size=200; nbour=Hamming
Tabu search,0.7836301859987809,0.07383669433765062,0.0,25,0.0,tabu_size=200; nbour=adjacent
Tabu search,0.8640274131751361,0.15080927484436266,0.0,25,0.0,tabu_size=400; nbour=Hamming
Tabu search,0.7898275106904554,0.10574542363895963,0.05,24.2,3.5777087639996634,tabu_size=400; nbour=adjacent
Tabu search,0.8558431739841527,0.1335578617854576,0.05,24.75,1.118033988749895,tabu_size=700; nbour=Hamming
Tabu search,0.795118014500903,0.05010108557677446,0.0,25,0.0,tabu_size=700; nbour=adjacent
Tabu search,0.8425163527980624,0.11584477771784024,0.0,25,0.0,tabu_size=1000; nbour=Hamming
Tabu search,0.7661705897403474,0.05597008851943721,0.0,25,0.0,tabu_size=1000; nbour=adjacent
Tabu search,0.8420273852165718,0.16176594395215005,0.0,25,0.0,tabu_size=2000; nbour=Hamming
Tabu search,0.7752904613263768,0.06038652111300024,0.0,25,0.0,tabu_size=2000; nbour=adjacent
Tabu search,0.9486036467643796,0.09772595765246526,0.25,46.05,9.242208667446953,tabu_size=4; nbour=Hamming
Tabu search,0.8077314007190088,0.05493613870672864,0.0,49.45,2.4596747752497685,tabu_size=4; nbour=adjacent
Tabu search,0.9097925863258827,0.13026708476900017,0.15,47.2,7.149530717025014,tabu_size=8; nbour=Hamming
Tabu search,0.814797454602423,0.07242366901360583,0.0,50,0.0,tabu_size=8; nbour=adjacent
Tabu search,0.918356586650447,0.1224196220221,0.15,48,7.283723744002608,tabu_size=16; nbour=Hamming
Tabu search,0.775966652888099,0.06270970345682081,0.0,50,0.0,tabu_size=16; nbour=adjacent
Tabu search,0.9667529688695725,0.045471828300620395,0.2,47.35,7.110222440816795,tabu_size=32; nbour=Hamming
Tabu search,0.8100471610417715,0.06793282666920132,0.05,49.25,3.3541019662496847,tabu_size=32; nbour=adjacent
Tabu search,0.9182060500388037,0.10646039660416455,0.2,47.7,6.634042984168061,tabu_size=64; nbour=Hamming
Tabu search,0.8053321602949824,0.09826435107179192,0.0,50,0.0,tabu_size=64; nbour=adjacent
Tabu search,0.9388129787748969,0.07580260189985233,0.25,47.65,6.603627392338404,tabu_size=100; nbour=Hamming
Tabu search,0.8104509605852859,0.08906052744091958,0.05,47.8,9.838699100999074,tabu_size=100; nbour=adjacent
Tabu search,0.9346033010348684,0.07522254407408978,0.15,47.65,6.635431211942525,tabu_size=200; nbour=Hamming
Tabu search,0.7968794820709294,0.04616861234152294,0.0,50,0.0,tabu_size=200; nbour=adjacent
Tabu search,0.9185720544162865,0.13214538015137328,0.35,45.7,8.772564889292191,tabu_size=400; nbour=Hamming
Tabu search,0.8010522712897022,0.07666990064472162,0.05,48.3,7.602631123499285,tabu_size=400; nbour=adjacent
Tabu search,0.9683770133368632,0.030002452300453127,0.3,45.85,8.38089933624134,tabu_size=700; nbour=Hamming
Tabu search,0.8089508817839719,0.07056599309053922,0.0,50,0.0,tabu_size=700; nbour=adjacent
Tabu search,0.9360818056065437,0.09675290364018779,0.45,44.6,9.626717208401123,tabu_size=1000; nbour=Hamming
Tabu search,0.8218667239937664,0.08807602266743736,0.05,48.95,4.695742752749559,tabu_size=1000; nbour=adjacent
Tabu search,0.9657679601923368,0.04571777832727624,0.25,46.8,9.55097129257433,tabu_size=2000; nbour=Hamming
Tabu search,0.8049184746133217,0.07271267094015985,0.0,50,0.0,tabu_size=2000; nbour=adjacent
Tabu search,0.9655046651430477,0.11674332425186973,0.65,70.8,28.31514380011256,tabu_size=4; nbour=Hamming
Tabu search,0.8136237473468844,0.0899834844181375,0.15,86.1,20.193537267364057,tabu_size=4; nbour=adjacent
Tabu search,0.9845952262460103,0.03958376691450642,0.7,75.05,21.60768625427438,tabu_size=8; nbour=Hamming
Tabu search,0.8160525344664147,0.07756100628351252,0.1,91,21.88727099432333,tabu_size=8; nbour=adjacent
