pnpoly_RTX_2070_SUPER_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
Tabu search,0.9185879289643413,0.1343369088382731,0.0,25,0.0,tabu_size=4; nbour=Hamming
Tabu search,0.9248872063087552,0.05714503095427245,0.0,25,0.0,tabu_size=4; nbour=adjacent
Tabu search,0.9280936720790012,0.09278208412123025,0.05,24.55,2.0124611797498106,tabu_size=8; nbour=Hamming
Tabu search,0.9523411150757143,0.0535091125833617,0.05,24.35,2.9068883707497264,tabu_size=8; nbour=adjacent
Tabu search,0.9421449335369648,0.0657974043355408,0.0,25,0.0,tabu_size=16; nbour=Hamming
Tabu search,0.9411958191968957,0.05304149493507469,0.0,25,0.0,tabu_size=16; nbour=adjacent
Tabu search,0.9075704398002846,0.09577202625285194,0.0,25,0.0,tabu_size=32; nbour=Hamming
Tabu search,0.9507913545133964,0.049821407404574615,0.0,25,0.0,tabu_size=32; nbour=adjacent
Tabu search,0.9228010366561255,0.1380389214461202,0.0,25,0.0,tabu_size=64; nbour=Hamming
Tabu search,0.9321551768346019,0.05889911301410035,0.0,25,0.0,tabu_size=64; nbour=adjacent
Tabu search,0.955711628575069,0.05828550834092652,0.05,24.1,4.024922359499621,tabu_size=100; nbour=Hamming
Tabu search,0.9399306426439968,0.04475887099551931,0.0,25,0.0,tabu_size=100; nbour=adjacent
Tabu search,0.9627895695009021,0.03332957867573051,0.0,25,0.0,tabu_size=200; nbour=Hamming
Tabu search,0.9596349865130405,0.04613954321702152,0.0,25,0.0,tabu_size=200; nbour=adjacent
Tabu search,0.9626593969239141,0.03751023837755914,0.0,25,0.0,tabu_size=400; nbour=Hamming
Tabu search,0.9076069821235448,0.21558580292705568,0.0,25,0.0,tabu_size=400; nbour=adjacent
Tabu search,0.908476389560192,0.16470962529750077,0.0,25,0.0,tabu_size=700; nbour=Hamming
Tabu search,0.9500073259141818,0.05617236666456677,0.0,25,0.0,tabu_size=700; nbour=adjacent
Tabu search,0.8760955792865501,0.2058880423026349,0.0,25,0.0,tabu_size=1000; nbour=Hamming
Tabu search,0.9412592827648264,0.04291572854504381,0.0,25,0.0,tabu_size=1000; nbour=adjacent
Tabu search,0.938287378685276,0.0968442063307508,0.0,25,0.0,tabu_size=2000; nbour=Hamming
Tabu search,0.9403839919656903,0.05359087826584876,0.05,24.95,0.22360679774997896,tabu_size=2000; nbour=adjacent
Tabu search,0.9774600629684768,0.02409996783170104,0.0,50,0.0,tabu_size=4; nbour=Hamming
Tabu search,0.9478428494292198,0.04304378301730061,0.0,46.75,6.17188020486123,tabu_size=4; nbour=adjacent
Tabu search,0.980455303564225,0.027033762426367527,0.05,49.6,1.7888543819998317,tabu_size=8; nbour=Hamming
Tabu search,0.965119972959078,0.03328042665986573,0.05,49.55,2.0124611797498106,tabu_size=8; nbour=adjacent
Tabu search,0.9781627153547542,0.02661446118212329,0.15,47.25,7.607994410313958,tabu_size=16; nbour=Hamming
Tabu search,0.959049108061486,0.029744599029325587,0.05,49.95,0.22360679774997896,tabu_size=16; nbour=adjacent
Tabu search,0.9671080294374433,0.05914035770976304,0.0,50,0.0,tabu_size=32; nbour=Hamming
Tabu search,0.9615677543595232,0.03638787497623465,0.05,49.95,0.22360679774997896,tabu_size=32; nbour=adjacent
Tabu search,0.978482822253083,0.023667166532602014,0.05,48.5,6.708203932499369,tabu_size=64; nbour=Hamming
Tabu search,0.9666356109563476,0.03191781592808793,0.0,50,0.0,tabu_size=64; nbour=adjacent
Tabu search,0.9849343423658107,0.007789677528299354,0.1,48.8,4.514304749174678,tabu_size=100; nbour=Hamming
Tabu search,0.957413636995028,0.04333195837273468,0.0,50,0.0,tabu_size=100; nbour=adjacent
Tabu search,0.980989333878216,0.01112950220796178,0.05,48.9,4.919349550499537,tabu_size=200; nbour=Hamming
Tabu search,0.968805186084015,0.034341166958151426,0.0,50,0.0,tabu_size=200; nbour=adjacent
Tabu search,0.9814532298291577,0.014645275863147261,0.05,48.7,5.813776741499453,tabu_size=400; nbour=Hamming
Tabu search,0.9690168181266142,0.03612584619725034,0.0,50,0.0,tabu_size=400; nbour=adjacent
Tabu search,0.9718638939009425,0.03102048515025505,0.1,47.1,9.738150694426967,tabu_size=700; nbour=Hamming
Tabu search,0.956231900286657,0.037148320347314474,0.0,50,0.0,tabu_size=700; nbour=adjacent
Tabu search,0.9818285022859472,0.017283888276053982,0.05,49.7,1.3416407864998738,tabu_size=1000; nbour=Hamming
Tabu search,0.9639542995992436,0.02692704204823515,0.0,50,0.0,tabu_size=1000; nbour=adjacent
Tabu search,0.9707372886615435,0.058201889502047736,0.1,47.45,8.21727961131458,tabu_size=2000; nbour=Hamming
Tabu search,0.9568859501358716,0.03788088200151042,0.0,50,0.0,tabu_size=2000; nbour=adjacent
Tabu search,0.9902781487082409,0.007522505249985406,0.3,82.2,29.988769827878464,tabu_size=4; nbour=Hamming
Tabu search,0.9709428307288995,0.05336739200415708,0.1,78.1,22.090483781126444,tabu_size=4; nbour=adjacent
Tabu search,0.9876533412026036,0.006269477170983001,0.1,94.2,20.179718844215323,tabu_size=8; nbour=Hamming
Tabu search,0.9704382098751666,0.030574276230324205,0.0,98.25,5.270324068733695,tabu_size=8; nbour=adjacent
Tabu search,0.9877343899376922,0.006311138087572159,0.1,97.35,10.732513317264655,tabu_size=16; nbour=Hamming
Tabu search,0.9652497250535883,0.032661844854108925,0.2,91.9,19.05366382780902,tabu_size=16; nbour=adjacent
Tabu search,0.9914049666309223,0.0076378647440935605,0.3,86.05,25.371917754208408,tabu_size=32; nbour=Hamming
Tabu search,0.9857677708290857,0.017568978759962856,0.15,92.3,22.285468477533918,tabu_size=32; nbour=adjacent
Tabu search,0.9903452040569355,0.006556427411244042,0.1,96.35,11.263705102299994,tabu_size=64; nbour=Hamming
Tabu search,0.9720076164123447,0.028708411388029667,0.15,95.35,13.115980610248744,tabu_size=64; nbour=adjacent
Tabu search,0.9880383022768554,0.0056007471021392785,0.05,98.85,5.142956348249516,tabu_size=100; nbour=Hamming
Tabu search,0.9843338560982168,0.014213635711846567,0.15,94.3,15.835004528608529,tabu_size=100; nbour=adjacent
Tabu search,0.9869717980677338,0.00632050235154467,0.1,94.4,19.483866470276862,tabu_size=200; nbour=Hamming
Tabu search,0.979234548044375,0.023909260887632396,0.15,93.75,17.573529735611483,tabu_size=200; nbour=adjacent
Tabu search,0.9867604672742918,0.00659341281173988,0.05,99.65,1.5652475842498528,tabu_size=400; nbour=Hamming
Tabu search,0.9858499942531496,0.014469198560962484,0.25,84.1,32.39216929412026,tabu_size=400; nbour=adjacent
Tabu search,0.9882515930902044,0.007322898217909117,0.1,95.3,17.99736822865762,tabu_size=700; nbour=Hamming
Tabu search,0.9770570535516965,0.016380747156096352,0.05,97.2,12.521980673998822,tabu_size=700; nbour=adjacent
Tabu search,0.9886708044702777,0.007851828816103646,0.25,96.4,7.549137280789807,tabu_size=1000; nbour=Hamming
Tabu search,0.9730300427879971,0.027027050584151783,0.1,97.8,7.251860015486408,tabu_size=1000; nbour=adjacent
Tabu search,0.9791967426672507,0.044099745579687016,0.05,97.55,10.956733089748969,tabu_size=2000; nbour=Hamming
Tabu search,0.9669092686271044,0.03782107896498079,0.0,100,0.0,tabu_size=2000; nbour=adjacent
Tabu search,0.9919316782582076,0.004504896764723798,0.2,177.5,54.786187271879704,tabu_size=4; nbour=Hamming
Tabu search,0.9681901405031177,0.04445279144135298,0.2,95.3,47.204036401896595,tabu_size=4; nbour=adjacent
Tabu search,0.990914456094853,0.005535886675264837,0.1,193.8,22.897023479276218,tabu_size=8; nbour=Hamming
Tabu search,0.9827019675226437,0.02228937281937429,0.1,132.45,51.99744426917842,tabu_size=8; nbour=adjacent
Tabu search,0.9921696185372879,0.004456648174278157,0.2,179.1,50.98286605889225,tabu_size=16; nbour=Hamming
Tabu search,0.9888901141578407,0.010843944572661473,0.25,167.45,50.65203793894596,tabu_size=16; nbour=adjacent
Tabu search,0.9932047925903645,0.0051101729165187485,0.25,186.05,28.197564284507756,tabu_size=32; nbour=Hamming
Tabu search,0.9881310456093784,0.010046906215688014,0.15,184.45,39.24078839274525,tabu_size=32; nbour=adjacent
Tabu search,0.9929953010923053,0.005989163250031091,0.35,163.5,62.0640585880512,tabu_size=64; nbour=Hamming
Tabu search,0.9862152827360752,0.014204594459840071,0.1,193.3,29.035549898266726,tabu_size=64; nbour=adjacent
Tabu search,0.9912874618501111,0.005590016464237324,0.2,182.85,37.16573832527961,tabu_size=100; nbour=Hamming
Tabu search,0.9906895530355656,0.007417327569495324,0.2,176.1,56.669772876682124,tabu_size=100; nbour=adjacent
Tabu search,0.9947297677381375,0.0058036981721451535,0.45,160.95,54.93294956006296,tabu_size=200; nbour=Hamming
Tabu search,0.9880389770913457,0.011913701458984433,0.2,181.1,47.53159613960957,tabu_size=200; nbour=adjacent
