GEMM_GTX_1080Ti_processed,,,,,,,
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings,MaxFEval
SMAC4BB_gp_EI,0.663814388351876,0.156888673050063,0,25,0,model_type=gp, acq_func=EI
SMAC4BB_gp_LCB,0.640557656202249,0.158688819039868,0,25,0,model_type=gp, acq_func=LCB
SMAC4BB_gp_PI,0.600646039773171,0.160478290766868,0,25,0,model_type=gp, acq_func=PI
SMAC4BB_gp_TS,0.700814663513004,0.125613950131614,0,25,0,model_type=gp, acq_func=TS
SMAC4BB_gp_EI,0.801847039894329,0.070436272014986,0,50,0,model_type=gp, acq_func=EI
SMAC4BB_gp_LCB,0.783437756731012,0.110016622949636,0,50,0,model_type=gp, acq_func=LCB
SMAC4BB_gp_PI,0.716604021164609,0.119592101015005,0,50,0,model_type=gp, acq_func=PI
SMAC4BB_gp_TS,0.786135676645449,0.073092017551049,0,50,0,model_type=gp, acq_func=TS
SMAC4BB_gp_EI,0.793754973456419,0.062577560636847,0,100,0,model_type=gp, acq_func=EI
SMAC4BB_gp_LCB,0.8536372768222,0.058687197955323,0,100,0,model_type=gp, acq_func=LCB
SMAC4BB_gp_PI,0.82512961400121,0.065750177367183,0,100,0,model_type=gp, acq_func=PI
SMAC4BB_gp_TS,0.840826338514803,0.072703790373877,0,100,0,model_type=gp, acq_func=TS
SMAC4BB_gp_EI,0.858368967501031,0.058613573645491,0,200,0,model_type=gp, acq_func=EI
SMAC4BB_gp_LCB,0.86051946420412,0.039598426073862,0,200,0,model_type=gp, acq_func=LCB
SMAC4BB_gp_PI,0.852117434916055,0.054309490278495,0,200,0,model_type=gp, acq_func=PI
SMAC4BB_gp_TS,0.903313981164598,0.057952916220609,0,200,0,model_type=gp, acq_func=TS
SMAC4BB_gp_EI,0.900686308521894,0.05449778805947,0,390.15,4.13298668608652,model_type=gp, acq_func=EI
SMAC4BB_gp_LCB,0.919468430789184,0.048391549592655,0.05,377.05,1.57195821559574,model_type=gp, acq_func=LCB
SMAC4BB_gp_PI,0.880240155764121,0.05420506060794,0,394.6,2.68328157299975,model_type=gp, acq_func=PI
SMAC4BB_gp_TS,0.932418389495658,0.040033986527331,0,366.6,2.28035085019828,model_type=gp, acq_func=TS
