GEMM_RTX_2070_SUPER_processed,,,,,,,
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings,MaxFEval
SMAC4BB_gp_EI,0.641952806414195,0.124542785499799,0,25,0,model_type=gp, acq_func=EI
SMAC4BB_gp_LCB,0.675029648178527,0.148330547566313,0,25,0,model_type=gp, acq_func=LCB
SMAC4BB_gp_PI,0.606365667733517,0.147673836317088,0,25,0,model_type=gp, acq_func=PI
SMAC4BB_gp_TS,0.623610471049172,0.153272670037759,0,25,0,model_type=gp, acq_func=TS
SMAC4BB_gp_EI,0.705042011458965,0.145261887578174,0,50,0,model_type=gp, acq_func=EI
SMAC4BB_gp_LCB,0.705338753410554,0.103261800631696,0,50,0,model_type=gp, acq_func=LCB
SMAC4BB_gp_PI,0.701747012691114,0.113990405775436,0,50,0,model_type=gp, acq_func=PI
SMAC4BB_gp_TS,0.7578156527936,0.106951975412488,0,50,0,model_type=gp, acq_func=TS
SMAC4BB_gp_EI,0.806288712105362,0.072088851164309,0,100,0,model_type=gp, acq_func=EI
SMAC4BB_gp_LCB,0.759495948421996,0.070292247557865,0,100,0,model_type=gp, acq_func=LCB
SMAC4BB_gp_PI,0.786899468519373,0.063654889864921,0,100,0,model_type=gp, acq_func=PI
SMAC4BB_gp_TS,0.809759055242931,0.068645721144715,0,100,0,model_type=gp, acq_func=TS
SMAC4BB_gp_EI,0.861156174950555,0.066930863064341,0.05,200,0,model_type=gp, acq_func=EI
SMAC4BB_gp_LCB,0.856457697064962,0.054672567818763,0.05,200,0,model_type=gp, acq_func=LCB
SMAC4BB_gp_PI,0.856756102821822,0.075302961491672,0,200,0,model_type=gp, acq_func=PI
SMAC4BB_gp_TS,0.856040801392089,0.064764699043271,0,200,0,model_type=gp, acq_func=TS
SMAC4BB_gp_EI,0.872779022487687,0.056009513078548,0,375.4,3.96564191392436,model_type=gp, acq_func=EI
SMAC4BB_gp_LCB,0.903128960669857,0.03795988138133,0,363.95,1.46808145478878,model_type=gp, acq_func=LCB
SMAC4BB_gp_PI,0.867581756542164,0.044654923012034,0,378.75,4.31490684170952,model_type=gp, acq_func=PI
SMAC4BB_gp_TS,0.900288639295468,0.066564195368109,0.05,367.8,2.23842049574906,model_type=gp, acq_func=TS
