pnpoly_P100_processed,,,,,,,
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings,MaxFEval
SMAC4BB_gp_EI,0.888369720611058,0.066273470217056,0,25,0,model_type=gp, acq_func=EI
SMAC4BB_gp_LCB,0.86303122214268,0.06947560631221,0,25,0,model_type=gp, acq_func=LCB
SMAC4BB_gp_PI,0.827875783459139,0.06889973918999,0,25,0,model_type=gp, acq_func=PI
SMAC4BB_gp_TS,0.863724639653547,0.070365498371712,0,25,0,model_type=gp, acq_func=TS
SMAC4BB_gp_EI,0.924927710053137,0.03711951633526,0,50,0,model_type=gp, acq_func=EI
SMAC4BB_gp_LCB,0.936057012160742,0.026641881618074,0,50,0,model_type=gp, acq_func=LCB
SMAC4BB_gp_PI,0.886226284931454,0.077371915284812,0.05,50,0,model_type=gp, acq_func=PI
SMAC4BB_gp_TS,0.882918173293156,0.047290949400797,0,50,0,model_type=gp, acq_func=TS
SMAC4BB_gp_EI,0.932646129570917,0.024326448251384,0,100,0,model_type=gp, acq_func=EI
SMAC4BB_gp_LCB,0.953305988454085,0.02819726081886,0.1,100,0,model_type=gp, acq_func=LCB
SMAC4BB_gp_PI,0.90753423482276,0.048943751644543,0,100,0,model_type=gp, acq_func=PI
SMAC4BB_gp_TS,0.932890968140734,0.027882316500294,0,100,0,model_type=gp, acq_func=TS
SMAC4BB_gp_EI,0.95013109460726,0.024849979951347,0.05,200,0,model_type=gp, acq_func=EI
SMAC4BB_gp_LCB,0.960501137262381,0.022157297431596,0.1,200,0,model_type=gp, acq_func=LCB
SMAC4BB_gp_PI,0.93429856821201,0.039381062962821,0,200,0,model_type=gp, acq_func=PI
SMAC4BB_gp_TS,0.944475287312003,0.024673359183784,0,200,0,model_type=gp, acq_func=TS
SMAC4BB_gp_EI,0.964272112274492,0.027005191366028,0,400,0,model_type=gp, acq_func=EI
SMAC4BB_gp_LCB,0.977104449326264,0.018181826204394,0.1,400,0,model_type=gp, acq_func=LCB
SMAC4BB_gp_PI,0.93768823117899,0.042733696549152,0,400,0,model_type=gp, acq_func=PI
SMAC4BB_gp_TS,0.965498802686802,0.018638259760166,0,394.2,2.25092573548455,model_type=gp, acq_func=TS
