pnpoly_RTX_2070_SUPER_processed,,,,,,,
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings,MaxFEval
SMAC4BB_gp_EI,0.972702688326689,0.022414717627138,0.05,25,0,model_type=gp, acq_func=EI
SMAC4BB_gp_LCB,0.972868046968972,0.01886736362426,0,25,0,model_type=gp, acq_func=LCB
SMAC4BB_gp_PI,0.940009261461585,0.039410908648832,0,25,0,model_type=gp, acq_func=PI
SMAC4BB_gp_TS,0.95424076182026,0.027552151512384,0,25,0,model_type=gp, acq_func=TS
SMAC4BB_gp_EI,0.978948184459208,0.017218242159346,0.05,50,0,model_type=gp, acq_func=EI
SMAC4BB_gp_LCB,0.983833810516234,0.009296291896069,0.05,50,0,model_type=gp, acq_func=LCB
SMAC4BB_gp_PI,0.968880426298421,0.023045617410281,0,50,0,model_type=gp, acq_func=PI
SMAC4BB_gp_TS,0.974139290043213,0.016025727326656,0,50,0,model_type=gp, acq_func=TS
SMAC4BB_gp_EI,0.985572613975493,0.007345887860836,0.05,100,0,model_type=gp, acq_func=EI
SMAC4BB_gp_LCB,0.985499542174759,0.008441097806715,0.1,100,0,model_type=gp, acq_func=LCB
SMAC4BB_gp_PI,0.973866057809332,0.0180069402455,0,100,0,model_type=gp, acq_func=PI
SMAC4BB_gp_TS,0.982163646316853,0.010055267697058,0,100,0,model_type=gp, acq_func=TS
SMAC4BB_gp_EI,0.988485151111792,0.006376453702305,0,200,0,model_type=gp, acq_func=EI
SMAC4BB_gp_LCB,0.989680492728315,0.00701221062187,0.1,200,0,model_type=gp, acq_func=LCB
SMAC4BB_gp_PI,0.981562942841642,0.009741705529022,0.05,200,0,model_type=gp, acq_func=PI
SMAC4BB_gp_TS,0.992170836413933,0.009026757599697,0.2,200,0,model_type=gp, acq_func=TS
SMAC4BB_gp_EI,0.992042908907583,0.006725028795258,0,400,0,model_type=gp, acq_func=EI
SMAC4BB_gp_LCB,0.991904295907623,0.005678739387102,0.1,400,0,model_type=gp, acq_func=LCB
SMAC4BB_gp_PI,0.983912234310936,0.008506313093896,0,400,0,model_type=gp, acq_func=PI
SMAC4BB_gp_TS,0.991338134936819,0.006915056968081,0.2,395.4,1.71269767715535,model_type=gp, acq_func=TS
