GEMM_P100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
Simulated annealing,0.052621408899994004,0.1805697421932924,0.0,1,0.0,hillclimb=None; explore=0.01; nbour_method=Hamming
Simulated annealing,0.09158405438635707,0.21112947360774012,0.0,1,0.0,hillclimb=None; explore=0.01; nbour_method=adjacent
Simulated annealing,0.4441430933298804,0.35748450425341327,0.0,25,0.0,hillclimb=None; explore=0.05; nbour_method=Hamming
Simulated annealing,0.4928213912211643,0.32274055895430614,0.0,25,0.0,hillclimb=None; explore=0.05; nbour_method=adjacent
Simulated annealing,0.6713315661293129,0.23507690400289383,0.0,25,0.0,hillclimb=None; explore=0.1; nbour_method=Hamming
Simulated annealing,0.617898898495243,0.3067216349521681,0.0,25,0.0,hillclimb=None; explore=0.1; nbour_method=adjacent
Simulated annealing,0.7109986035997256,0.2231394829375724,0.0,25,0.0,hillclimb=None; explore=0.2; nbour_method=Hamming
Simulated annealing,0.6500226428923763,0.2274063224018469,0.0,25,0.0,hillclimb=None; explore=0.2; nbour_method=adjacent
Simulated annealing,0.808150010166055,0.11604797774184165,0.0,25,0.0,hillclimb=None; explore=0.3; nbour_method=Hamming
Simulated annealing,0.7092268763103292,0.22454501448823339,0.0,25,0.0,hillclimb=None; explore=0.3; nbour_method=adjacent
Simulated annealing,0.7290646311234299,0.14641652420668866,0.0,25,0.0,hillclimb=None; explore=0.5; nbour_method=Hamming
Simulated annealing,0.7241330162504064,0.1632601774572017,0.0,25,0.0,hillclimb=None; explore=0.5; nbour_method=adjacent
Simulated annealing,0.7453451659820537,0.1825168441220278,0.0,25,0.0,hillclimb=None; explore=0.7; nbour_method=Hamming
Simulated annealing,0.7131757652615941,0.12845409289381624,0.0,25,0.0,hillclimb=None; explore=0.7; nbour_method=adjacent
Simulated annealing,0.7513115035314512,0.12124695406485096,0.0,25,0.0,hillclimb=None; explore=1.0; nbour_method=Hamming
Simulated annealing,0.6679299687754221,0.21049187846262316,0.0,25,0.0,hillclimb=None; explore=1.0; nbour_method=adjacent
Simulated annealing,0.4697172682852804,0.33292800969142683,0.0,24.5,0.8885233166386386,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.01; nbour_method=Hamming
Simulated annealing,0.34165266822694856,0.3973898661124677,0.0,18.8,5.782004751586462,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.01; nbour_method=adjacent
Simulated annealing,0.5341033516040999,0.265415176944255,0.0,25,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.05; nbour_method=Hamming
Simulated annealing,0.2513652671617913,0.35265294330762686,0.0,25,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.05; nbour_method=adjacent
Simulated annealing,0.4341239767278104,0.32782768822763486,0.0,25,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.1; nbour_method=Hamming
Simulated annealing,0.430413980738179,0.39984242035742323,0.0,25,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.1; nbour_method=adjacent
Simulated annealing,0.36430416401352184,0.3779040232176029,0.0,25,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.2; nbour_method=Hamming
Simulated annealing,0.39848890488903016,0.39903495737058636,0.0,25,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.2; nbour_method=adjacent
Simulated annealing,0.4791274989856855,0.3466149646760612,0.0,25,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.3; nbour_method=Hamming
Simulated annealing,0.385496829565344,0.33150187445453894,0.0,25,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.3; nbour_method=adjacent
Simulated annealing,0.38723881552610284,0.3536656015191181,0.0,25,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.5; nbour_method=Hamming
Simulated annealing,0.6392216200103377,0.2953121836649807,0.0,25,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.5; nbour_method=adjacent
Simulated annealing,0.5226223511587207,0.34223239200871053,0.0,25,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.7; nbour_method=Hamming
Simulated annealing,0.46154288556443857,0.37559349593423946,0.0,25,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.7; nbour_method=adjacent
Simulated annealing,0.43315539382745705,0.32135145244224783,0.0,25,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=1.0; nbour_method=Hamming
Simulated annealing,0.46575624263110094,0.3779654250262343,0.0,25,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=1.0; nbour_method=adjacent
Simulated annealing,0.6487954585721725,0.37234010994029904,0.0,24.6,0.8207826816681233,hillclimb=<function RandomGreedyHillclimb at 0x7fc6349f8160>; explore=0.01; nbour_method=Hamming
