convolution_GTX_1080Ti_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
Simulated annealing,0.10210892766294352,0.174899073320469,0.0,1,0.0,hillclimb=None; explore=0.01; nbour_method=Hamming
Simulated annealing,0.21091692572855744,0.2699117394927175,0.0,1,0.0,hillclimb=None; explore=0.01; nbour_method=adjacent
Simulated annealing,0.5814462803952996,0.22896214355296018,0.0,25,0.0,hillclimb=None; explore=0.05; nbour_method=Hamming
Simulated annealing,0.5746200045360669,0.20888675719606692,0.0,25,0.0,hillclimb=None; explore=0.05; nbour_method=adjacent
Simulated annealing,0.6061009053597495,0.1761813282675458,0.0,25,0.0,hillclimb=None; explore=0.1; nbour_method=Hamming
Simulated annealing,0.6277674827388063,0.13753500106671093,0.0,25,0.0,hillclimb=None; explore=0.1; nbour_method=adjacent
Simulated annealing,0.624038048444369,0.11612467836534944,0.0,25,0.0,hillclimb=None; explore=0.2; nbour_method=Hamming
Simulated annealing,0.6078584695324987,0.13007233277985347,0.0,25,0.0,hillclimb=None; explore=0.2; nbour_method=adjacent
Simulated annealing,0.6223573341851497,0.14108180336216458,0.0,25,0.0,hillclimb=None; explore=0.3; nbour_method=Hamming
Simulated annealing,0.6644374918403955,0.11075036900283693,0.0,25,0.0,hillclimb=None; explore=0.3; nbour_method=adjacent
Simulated annealing,0.5802605234281563,0.18112220874367185,0.0,25,0.0,hillclimb=None; explore=0.5; nbour_method=Hamming
Simulated annealing,0.6538307328461498,0.09403632271235918,0.0,25,0.0,hillclimb=None; explore=0.5; nbour_method=adjacent
Simulated annealing,0.6259655708069204,0.08735511227594682,0.0,25,0.0,hillclimb=None; explore=0.7; nbour_method=Hamming
Simulated annealing,0.6305533889066712,0.11246914260306264,0.0,25,0.0,hillclimb=None; explore=0.7; nbour_method=adjacent
Simulated annealing,0.6547844996508705,0.13007416255280063,0.0,25,0.0,hillclimb=None; explore=1.0; nbour_method=Hamming
Simulated annealing,0.6004708355285574,0.11498288688925318,0.0,25,0.0,hillclimb=None; explore=1.0; nbour_method=adjacent
Simulated annealing,0.48425444379959903,0.28881095326982026,0.05,25,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.01; nbour_method=Hamming
Simulated annealing,0.2870856616092625,0.33367342697492675,0.0,16.65,7.768187487574258,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.01; nbour_method=adjacent
Simulated annealing,0.5348911878676034,0.2623570369297337,0.0,25,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.05; nbour_method=Hamming
Simulated annealing,0.3061156894462905,0.3322818664918491,0.0,25,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.05; nbour_method=adjacent
Simulated annealing,0.4796324331853855,0.22737359448004493,0.0,25,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.1; nbour_method=Hamming
Simulated annealing,0.3156467774390583,0.3261343895307579,0.0,25,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.1; nbour_method=adjacent
Simulated annealing,0.5731982350728453,0.17026417542233713,0.0,25,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.2; nbour_method=Hamming
Simulated annealing,0.5451250121943935,0.2536777231190444,0.0,25,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.2; nbour_method=adjacent
