convolution_P100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
Simulated annealing,0.10320238279021314,0.24591846039778092,0.0,1,0.0,hillclimb=None; explore=0.01; nbour_method=Hamming
Simulated annealing,0.1725872614066795,0.27386368139552963,0.0,1,0.0,hillclimb=None; explore=0.01; nbour_method=adjacent
Simulated annealing,0.6510884920636054,0.2013544508798698,0.0,25,0.0,hillclimb=None; explore=0.05; nbour_method=Hamming
Simulated annealing,0.6645307072338014,0.16627070774691197,0.0,25,0.0,hillclimb=None; explore=0.05; nbour_method=adjacent
Simulated annealing,0.7250486425242744,0.08611086689832652,0.0,25,0.0,hillclimb=None; explore=0.1; nbour_method=Hamming
Simulated annealing,0.6799529212771304,0.13326025617225165,0.0,25,0.0,hillclimb=None; explore=0.1; nbour_method=adjacent
Simulated annealing,0.7244101957933221,0.12512917316019104,0.0,25,0.0,hillclimb=None; explore=0.2; nbour_method=Hamming
Simulated annealing,0.7213216582180868,0.20050606850890507,0.0,25,0.0,hillclimb=None; explore=0.2; nbour_method=adjacent
Simulated annealing,0.7198349113785385,0.1102399644428164,0.0,25,0.0,hillclimb=None; explore=0.3; nbour_method=Hamming
Simulated annealing,0.7484015731493829,0.11029269427611062,0.0,25,0.0,hillclimb=None; explore=0.3; nbour_method=adjacent
Simulated annealing,0.7366726111906466,0.11715279037166162,0.0,25,0.0,hillclimb=None; explore=0.5; nbour_method=Hamming
Simulated annealing,0.7354554356559617,0.09018996163437938,0.0,25,0.0,hillclimb=None; explore=0.5; nbour_method=adjacent
Simulated annealing,0.7540619563527848,0.08543254399200587,0.0,25,0.0,hillclimb=None; explore=0.7; nbour_method=Hamming
Simulated annealing,0.7166053114624338,0.08208272317797974,0.0,25,0.0,hillclimb=None; explore=0.7; nbour_method=adjacent
Simulated annealing,0.7399949321229028,0.11347031061500001,0.0,25,0.0,hillclimb=None; explore=1.0; nbour_method=Hamming
Simulated annealing,0.7140830867793231,0.09862278778352482,0.0,25,0.0,hillclimb=None; explore=1.0; nbour_method=adjacent
Simulated annealing,0.5927893238670019,0.28765664555441506,0.0,25,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.01; nbour_method=Hamming
Simulated annealing,0.40948163355281925,0.4008580835260834,0.0,18.9,7.239511469414872,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.01; nbour_method=adjacent
Simulated annealing,0.6226154444129406,0.24481975728447267,0.0,25,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.05; nbour_method=Hamming
Simulated annealing,0.42426985981342796,0.39915541603715776,0.0,25,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.05; nbour_method=adjacent
Simulated annealing,0.6777486415608869,0.19732065938998522,0.0,25,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.1; nbour_method=Hamming
Simulated annealing,0.5396531876848922,0.3265892380831303,0.05,25,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.1; nbour_method=adjacent
Simulated annealing,0.5546998635279454,0.23930148818161348,0.0,25,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.2; nbour_method=Hamming
Simulated annealing,0.6478613469134951,0.29554362092886316,0.0,25,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.2; nbour_method=adjacent
Simulated annealing,0.5819061836420919,0.2356379217450991,0.0,25,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.3; nbour_method=Hamming
Simulated annealing,0.5345958723278817,0.3403095262652575,0.0,25,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.3; nbour_method=adjacent
Simulated annealing,0.6753703478961528,0.2225937116989173,0.0,25,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.5; nbour_method=Hamming
Simulated annealing,0.6820243346837367,0.14458245328939692,0.0,25,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.5; nbour_method=adjacent
Simulated annealing,0.6175299491928107,0.2957583375095932,0.0,25,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.7; nbour_method=Hamming
Simulated annealing,0.5176375356900675,0.31481025036173815,0.0,25,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.7; nbour_method=adjacent
Simulated annealing,0.600594224210416,0.26879502730344074,0.0,25,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=1.0; nbour_method=Hamming
Simulated annealing,0.6172856246087375,0.29089512598470696,0.0,25,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=1.0; nbour_method=adjacent
Simulated annealing,0.5005313201314211,0.31972375015043747,0.0,25,0.0,hillclimb=<function RandomGreedyHillclimb at 0x7fc6349f8160>; explore=0.01; nbour_method=Hamming
Simulated annealing,0.4463872498565013,0.4225633323983701,0.05,15.7,7.027015537795619,hillclimb=<function RandomGreedyHillclimb at 0x7fc6349f8160>; explore=0.01; nbour_method=adjacent
Simulated annealing,0.5753921283887642,0.35758031324355616,0.05,25,0.0,hillclimb=<function RandomGreedyHillclimb at 0x7fc6349f8160>; explore=0.05; nbour_method=Hamming
Simulated annealing,0.5041816279628155,0.3954034823073901,0.0,25,0.0,hillclimb=<function RandomGreedyHillclimb at 0x7fc6349f8160>; explore=0.05; nbour_method=adjacent
Simulated annealing,0.5816051886010916,0.3245909382457079,0.0,25,0.0,hillclimb=<function RandomGreedyHillclimb at 0x7fc6349f8160>; explore=0.1; nbour_method=Hamming
Simulated annealing,0.4920015357545656,0.39390527812464743,0.05,24.85,0.6708203932499369,hillclimb=<function RandomGreedyHillclimb at 0x7fc6349f8160>; explore=0.1; nbour_method=adjacent
Simulated annealing,0.5256457976214285,0.3658304644857899,0.0,25,0.0,hillclimb=<function RandomGreedyHillclimb at 0x7fc6349f8160>; explore=0.2; nbour_method=Hamming
Simulated annealing,0.7597060697859953,0.21933312460001245,0.0,25,0.0,hillclimb=<function RandomGreedyHillclimb at 0x7fc6349f8160>; explore=0.2; nbour_method=adjacent
Simulated annealing,0.693910543688326,0.31410207922265504,0.0,25,0.0,hillclimb=<function RandomGreedyHillclimb at 0x7fc6349f8160>; explore=0.3; nbour_method=Hamming
Simulated annealing,0.7792492229411478,0.1712390452972492,0.0,25,0.0,hillclimb=<function RandomGreedyHillclimb at 0x7fc6349f8160>; explore=0.3; nbour_method=adjacent
Simulated annealing,0.620011083296292,0.3049593120454638,0.0,25,0.0,hillclimb=<function RandomGreedyHillclimb at 0x7fc6349f8160>; explore=0.5; nbour_method=Hamming
Simulated annealing,0.6336376498562928,0.27337323680472697,0.0,25,0.0,hillclimb=<function RandomGreedyHillclimb at 0x7fc6349f8160>; explore=0.5; nbour_method=adjacent
Simulated annealing,0.5316694160927047,0.3304301660472457,0.0,25,0.0,hillclimb=<function RandomGreedyHillclimb at 0x7fc6349f8160>; explore=0.7; nbour_method=Hamming
Simulated annealing,0.7540841504476878,0.21810555314837832,0.05,24.55,2.0124611797498106,hillclimb=<function RandomGreedyHillclimb at 0x7fc6349f8160>; explore=0.7; nbour_method=adjacent
Simulated annealing,0.5460999165652555,0.30991103056041025,0.0,25,0.0,hillclimb=<function RandomGreedyHillclimb at 0x7fc6349f8160>; explore=1.0; nbour_method=Hamming
Simulated annealing,0.5272830650526588,0.385461729655634,0.1,25,0.0,hillclimb=<function RandomGreedyHillclimb at 0x7fc6349f8160>; explore=1.0; nbour_method=adjacent
Simulated annealing,0.46664864624222896,0.31146795949425893,0.0,25,0.0,hillclimb=<function StochasticHillclimb at 0x7fc6349f8310>; explore=0.01; nbour_method=Hamming
Simulated annealing,0.3537417837178665,0.3936807520576017,0.05,17.4,7.192100930150638,hillclimb=<function StochasticHillclimb at 0x7fc6349f8310>; explore=0.01; nbour_method=adjacent
Simulated annealing,0.3003693818985531,0.30938789971544184,0.0,25,0.0,hillclimb=<function StochasticHillclimb at 0x7fc6349f8310>; explore=0.05; nbour_method=Hamming
Simulated annealing,0.44697228256314975,0.3588001951445286,0.0,25,0.0,hillclimb=<function StochasticHillclimb at 0x7fc6349f8310>; explore=0.05; nbour_method=adjacent
Simulated annealing,0.49227936172614545,0.2618623276106552,0.0,25,0.0,hillclimb=<function StochasticHillclimb at 0x7fc6349f8310>; explore=0.1; nbour_method=Hamming
Simulated annealing,0.630975008667357,0.27204296181499743,0.0,25,0.0,hillclimb=<function StochasticHillclimb at 0x7fc6349f8310>; explore=0.1; nbour_method=adjacent
Simulated annealing,0.48333794645539385,0.28865620074980164,0.0,25,0.0,hillclimb=<function StochasticHillclimb at 0x7fc6349f8310>; explore=0.2; nbour_method=Hamming
Simulated annealing,0.5796931137555453,0.2438453422798329,0.0,25,0.0,hillclimb=<function StochasticHillclimb at 0x7fc6349f8310>; explore=0.2; nbour_method=adjacent
Simulated annealing,0.4502107706700769,0.3431942105377229,0.0,25,0.0,hillclimb=<function StochasticHillclimb at 0x7fc6349f8310>; explore=0.3; nbour_method=Hamming
Simulated annealing,0.6369363668407947,0.27835069661856987,0.05,25,0.0,hillclimb=<function StochasticHillclimb at 0x7fc6349f8310>; explore=0.3; nbour_method=adjacent
Simulated annealing,0.46676658880468697,0.27300057771774083,0.0,25,0.0,hillclimb=<function StochasticHillclimb at 0x7fc6349f8310>; explore=0.5; nbour_method=Hamming
Simulated annealing,0.55646779942118,0.331818395145925,0.0,25,0.0,hillclimb=<function StochasticHillclimb at 0x7fc6349f8310>; explore=0.5; nbour_method=adjacent
Simulated annealing,0.5760285125232671,0.22134498892676813,0.0,25,0.0,hillclimb=<function StochasticHillclimb at 0x7fc6349f8310>; explore=0.7; nbour_method=Hamming
Simulated annealing,0.5104894878755296,0.35368901813506953,0.0,25,0.0,hillclimb=<function StochasticHillclimb at 0x7fc6349f8310>; explore=0.7; nbour_method=adjacent
Simulated annealing,0.501577718124039,0.2712762920074905,0.0,25,0.0,hillclimb=<function StochasticHillclimb at 0x7fc6349f8310>; explore=1.0; nbour_method=Hamming
Simulated annealing,0.6364462848755753,0.1980230423241928,0.0,25,0.0,hillclimb=<function StochasticHillclimb at 0x7fc6349f8310>; explore=1.0; nbour_method=adjacent
Simulated annealing,0.15580627312521664,0.26167114909442574,0.0,1,0.0,hillclimb=None; explore=0.01; nbour_method=Hamming
Simulated annealing,0.07685524636463867,0.15858829991990464,0.0,1,0.0,hillclimb=None; explore=0.01; nbour_method=adjacent
Simulated annealing,0.7793111753018399,0.08445853914450961,0.0,50,0.0,hillclimb=None; explore=0.05; nbour_method=Hamming
Simulated annealing,0.7415734790337531,0.12130385436297575,0.0,50,0.0,hillclimb=None; explore=0.05; nbour_method=adjacent
Simulated annealing,0.824677422998464,0.09543775802100435,0.0,50,0.0,hillclimb=None; explore=0.1; nbour_method=Hamming
Simulated annealing,0.7544544184157371,0.13628521995426757,0.0,50,0.0,hillclimb=None; explore=0.1; nbour_method=adjacent
Simulated annealing,0.7856335704052151,0.06939182265882385,0.0,50,0.0,hillclimb=None; explore=0.2; nbour_method=Hamming
Simulated annealing,0.7964042631337194,0.07520389885698536,0.0,50,0.0,hillclimb=None; explore=0.2; nbour_method=adjacent
Simulated annealing,0.8100827182432514,0.061742735534755455,0.0,50,0.0,hillclimb=None; explore=0.3; nbour_method=Hamming
Simulated annealing,0.8289083874188203,0.06477948668663795,0.0,50,0.0,hillclimb=None; explore=0.3; nbour_method=adjacent
Simulated annealing,0.8005945501485525,0.07463866393667147,0.0,50,0.0,hillclimb=None; explore=0.5; nbour_method=Hamming
Simulated annealing,0.7978438198815861,0.07793223045942943,0.0,50,0.0,hillclimb=None; explore=0.5; nbour_method=adjacent
Simulated annealing,0.7961174919887788,0.08238978621592624,0.0,50,0.0,hillclimb=None; explore=0.7; nbour_method=Hamming
Simulated annealing,0.8054854850157488,0.06165146025831004,0.0,50,0.0,hillclimb=None; explore=0.7; nbour_method=adjacent
Simulated annealing,0.8061211273327095,0.07354444381825527,0.0,50,0.0,hillclimb=None; explore=1.0; nbour_method=Hamming
Simulated annealing,0.7764026752565705,0.05518446414327909,0.0,50,0.0,hillclimb=None; explore=1.0; nbour_method=adjacent
Simulated annealing,0.6342943677871561,0.3380688824822324,0.0,46.6,6.976652794179048,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.01; nbour_method=Hamming
Simulated annealing,0.11006797975011304,0.2731405000780109,0.0,15.6,12.76260986343764,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.01; nbour_method=adjacent
Simulated annealing,0.7695926149255871,0.20665317666638366,0.0,50,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.05; nbour_method=Hamming
Simulated annealing,0.6258731289243141,0.35732889694348285,0.05,50,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.05; nbour_method=adjacent
Simulated annealing,0.6904500474801272,0.3087607072071253,0.0,50,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.1; nbour_method=Hamming
Simulated annealing,0.753156529673439,0.21638509400936498,0.0,50,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.1; nbour_method=adjacent
Simulated annealing,0.8106693238693652,0.13348714658663138,0.0,50,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.2; nbour_method=Hamming
Simulated annealing,0.7942322223104908,0.1947257222555604,0.05,49.6,1.7888543819998317,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.2; nbour_method=adjacent
Simulated annealing,0.8023493742991235,0.10132630417046137,0.0,50,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.3; nbour_method=Hamming
Simulated annealing,0.8042270494112501,0.21444539498942722,0.1,49.8,0.8944271909999159,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.3; nbour_method=adjacent
Simulated annealing,0.7699622895102546,0.20470606622806567,0.0,50,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.5; nbour_method=Hamming
Simulated annealing,0.7749173142759767,0.22606206360213552,0.05,49.5,2.23606797749979,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.5; nbour_method=adjacent
Simulated annealing,0.7817360977384887,0.1532413463102969,0.0,50,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.7; nbour_method=Hamming
Simulated annealing,0.8110585491247083,0.2205323883197861,0.1,49,4.47213595499958,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.7; nbour_method=adjacent
Simulated annealing,0.7775534664331551,0.19932864967620453,0.0,50,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=1.0; nbour_method=Hamming
Simulated annealing,0.7309511036218733,0.22562276253669755,0.1,50,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=1.0; nbour_method=adjacent
Simulated annealing,0.7438456257616547,0.3285193639404324,0.0,46.35,6.343459126077074,hillclimb=<function RandomGreedyHillclimb at 0x7fc6349f8160>; explore=0.01; nbour_method=Hamming
Simulated annealing,0.44906756587424207,0.46388844716252703,0.15,23.2,15.736648476189519,hillclimb=<function RandomGreedyHillclimb at 0x7fc6349f8160>; explore=0.01; nbour_method=adjacent
Simulated annealing,0.8447694124029889,0.0844173413741795,0.0,50,0.0,hillclimb=<function RandomGreedyHillclimb at 0x7fc6349f8160>; explore=0.05; nbour_method=Hamming
