convolution_P100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
Simulated annealing,0.7492405021289114,0.13534766115701244,0.0,50,0.0,hillclimb=None; explore=1; nbour_method=Hamming
Simulated annealing,0.7660311594049743,0.10560149827927351,0.0,50,0.0,hillclimb=None; explore=1; nbour_method=adjacent
Simulated annealing,0.752691666093472,0.1148260609333339,0.0,50,0.0,hillclimb=None; explore=2; nbour_method=Hamming
Simulated annealing,0.7784781974032827,0.09497786123526639,0.02,49.28,5.091168824543142,hillclimb=None; explore=2; nbour_method=adjacent
Simulated annealing,0.7702735434515806,0.09654735113557067,0.02,49.86,0.9899494936611666,hillclimb=None; explore=4; nbour_method=Hamming
Simulated annealing,0.7782353785911429,0.08565491408213197,0.0,50,0.0,hillclimb=None; explore=4; nbour_method=adjacent
Simulated annealing,0.7962325163164438,0.08215664251854796,0.0,50,0.0,hillclimb=None; explore=8; nbour_method=Hamming
Simulated annealing,0.7905465081649081,0.06518930619032488,0.0,50,0.0,hillclimb=None; explore=8; nbour_method=adjacent
Simulated annealing,0.810594662054574,0.08184121390022485,0.0,50,0.0,hillclimb=None; explore=12; nbour_method=Hamming
Simulated annealing,0.788853434492848,0.07801864887559058,0.0,50,0.0,hillclimb=None; explore=12; nbour_method=adjacent
Simulated annealing,0.7938039458824451,0.06585589569251334,0.0,50,0.0,hillclimb=None; explore=16; nbour_method=Hamming
Simulated annealing,0.7872994778888669,0.07718307582328253,0.0,50,0.0,hillclimb=None; explore=16; nbour_method=adjacent
Simulated annealing,0.7762836887273634,0.07578827785753316,0.0,50,0.0,hillclimb=None; explore=24; nbour_method=Hamming
Simulated annealing,0.7918767779924585,0.07901681978098433,0.0,50,0.0,hillclimb=None; explore=24; nbour_method=adjacent
Simulated annealing,0.8007008400794432,0.06504405716858251,0.0,50,0.0,hillclimb=None; explore=32; nbour_method=Hamming
Simulated annealing,0.7892599955537172,0.07598140632509048,0.0,50,0.0,hillclimb=None; explore=32; nbour_method=adjacent
Simulated annealing,0.7943984794179545,0.08389869135060928,0.0,50,0.0,hillclimb=None; explore=50; nbour_method=Hamming
Simulated annealing,0.7687532551939666,0.06338614408692098,0.0,50,0.0,hillclimb=None; explore=50; nbour_method=adjacent
Simulated annealing,0.8090791521333778,0.05882206513498427,0.0,50,0.0,hillclimb=None; explore=100; nbour_method=Hamming
Simulated annealing,0.7774965201523295,0.06639952982927388,0.0,50,0.0,hillclimb=None; explore=100; nbour_method=adjacent
Simulated annealing,0.763851790706006,0.19758949928056363,0.0,50,0.0,hillclimb=<function BestHillclimb at 0x7f5d25d81ca0>; explore=1; nbour_method=Hamming
Simulated annealing,0.550880783456559,0.363389541138479,0.0,50,0.0,hillclimb=<function BestHillclimb at 0x7f5d25d81ca0>; explore=1; nbour_method=adjacent
Simulated annealing,0.7399004146928769,0.24015302195231056,0.02,50,0.0,hillclimb=<function BestHillclimb at 0x7f5d25d81ca0>; explore=2; nbour_method=Hamming
Simulated annealing,0.642038529336029,0.33949964153800777,0.02,49.6,2.8284271247461903,hillclimb=<function BestHillclimb at 0x7f5d25d81ca0>; explore=2; nbour_method=adjacent
Simulated annealing,0.7359409383105829,0.23369483945224626,0.0,50,0.0,hillclimb=<function BestHillclimb at 0x7f5d25d81ca0>; explore=4; nbour_method=Hamming
Simulated annealing,0.6692891101832572,0.3213585364838672,0.02,49.88,0.8485281374238571,hillclimb=<function BestHillclimb at 0x7f5d25d81ca0>; explore=4; nbour_method=adjacent
Simulated annealing,0.7883778393154924,0.10624318712227651,0.0,50,0.0,hillclimb=<function BestHillclimb at 0x7f5d25d81ca0>; explore=8; nbour_method=Hamming
Simulated annealing,0.7736785539780576,0.17981611068415068,0.02,49.62,2.6870057685088806,hillclimb=<function BestHillclimb at 0x7f5d25d81ca0>; explore=8; nbour_method=adjacent
Simulated annealing,0.7266673442852983,0.2167811825372073,0.0,50,0.0,hillclimb=<function BestHillclimb at 0x7f5d25d81ca0>; explore=12; nbour_method=Hamming
Simulated annealing,0.7300090193860238,0.2585420653745396,0.02,49.98,0.1414213562373095,hillclimb=<function BestHillclimb at 0x7f5d25d81ca0>; explore=12; nbour_method=adjacent
Simulated annealing,0.7528747671065878,0.2290713162542769,0.02,50,0.0,hillclimb=<function BestHillclimb at 0x7f5d25d81ca0>; explore=16; nbour_method=Hamming
