convolution_RTX_2070_SUPER_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
Simulated annealing,0.11522622253262418,0.16920828035326305,0.0,1,0.0,hillclimb=None; explore=0.01; nbour_method=Hamming
Simulated annealing,0.18253061361017203,0.3086507132698303,0.0,1,0.0,hillclimb=None; explore=0.01; nbour_method=adjacent
Simulated annealing,0.5784729377625731,0.2224312226844571,0.0,25,0.0,hillclimb=None; explore=0.05; nbour_method=Hamming
Simulated annealing,0.5677350293769251,0.1550036395386734,0.0,25,0.0,hillclimb=None; explore=0.05; nbour_method=adjacent
Simulated annealing,0.5644436324582135,0.1970205101159564,0.0,25,0.0,hillclimb=None; explore=0.1; nbour_method=Hamming
Simulated annealing,0.6228453747309486,0.10745875063982442,0.0,25,0.0,hillclimb=None; explore=0.1; nbour_method=adjacent
Simulated annealing,0.59406234673152,0.10799642958397196,0.0,25,0.0,hillclimb=None; explore=0.2; nbour_method=Hamming
Simulated annealing,0.5955330502501927,0.13054109361590083,0.0,25,0.0,hillclimb=None; explore=0.2; nbour_method=adjacent
Simulated annealing,0.629100965344277,0.13532869615874613,0.0,25,0.0,hillclimb=None; explore=0.3; nbour_method=Hamming
Simulated annealing,0.6511311488233418,0.11619536919101232,0.0,25,0.0,hillclimb=None; explore=0.3; nbour_method=adjacent
Simulated annealing,0.6092058651035014,0.12623337104404989,0.0,25,0.0,hillclimb=None; explore=0.5; nbour_method=Hamming
Simulated annealing,0.6526504407709868,0.12966033980657962,0.0,25,0.0,hillclimb=None; explore=0.5; nbour_method=adjacent
Simulated annealing,0.6106396671071604,0.13201704445660992,0.0,25,0.0,hillclimb=None; explore=0.7; nbour_method=Hamming
Simulated annealing,0.6443986640668102,0.14636694622761545,0.0,25,0.0,hillclimb=None; explore=0.7; nbour_method=adjacent
Simulated annealing,0.6007474815638627,0.15243004299150287,0.0,25,0.0,hillclimb=None; explore=1.0; nbour_method=Hamming
Simulated annealing,0.6571679315914979,0.1439695962425524,0.0,25,0.0,hillclimb=None; explore=1.0; nbour_method=adjacent
Simulated annealing,0.44723517144044134,0.20417993014610974,0.0,25,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.01; nbour_method=Hamming
Simulated annealing,0.42944748198089094,0.3541010162705389,0.0,19.4,7.3870441350131095,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.01; nbour_method=adjacent
Simulated annealing,0.5111949992626564,0.2689600865794264,0.0,25,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.05; nbour_method=Hamming
Simulated annealing,0.5887154754846505,0.24556117762219626,0.0,25,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.05; nbour_method=adjacent
Simulated annealing,0.5494666174142401,0.26093785565346433,0.0,25,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.1; nbour_method=Hamming
Simulated annealing,0.45399472759890014,0.22148747752876904,0.0,25,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.1; nbour_method=adjacent
Simulated annealing,0.43200632527120286,0.24929169894459707,0.0,25,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.2; nbour_method=Hamming
Simulated annealing,0.5839589956992658,0.31825483789329373,0.0,25,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.2; nbour_method=adjacent
Simulated annealing,0.4704997686683824,0.24484164212764523,0.0,25,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.3; nbour_method=Hamming
Simulated annealing,0.5086401820424543,0.30313641579108974,0.05,25,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.3; nbour_method=adjacent
Simulated annealing,0.5221362584273392,0.20734183941492923,0.0,25,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.5; nbour_method=Hamming
Simulated annealing,0.4457952047741698,0.27192102668811424,0.0,25,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.5; nbour_method=adjacent
Simulated annealing,0.4507307668372825,0.23083877064954342,0.0,25,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.7; nbour_method=Hamming
Simulated annealing,0.49520884407266236,0.2657437009976153,0.0,25,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.7; nbour_method=adjacent
Simulated annealing,0.4696234838232058,0.25961528187449945,0.0,25,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=1.0; nbour_method=Hamming
Simulated annealing,0.6391048797170391,0.15285942944783215,0.0,25,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=1.0; nbour_method=adjacent
Simulated annealing,0.40292610386100514,0.30533533573176197,0.0,25,0.0,hillclimb=<function RandomGreedyHillclimb at 0x7fc6349f8160>; explore=0.01; nbour_method=Hamming
Simulated annealing,0.31130793816520974,0.37139648647020945,0.0,16.25,7.2828204484396375,hillclimb=<function RandomGreedyHillclimb at 0x7fc6349f8160>; explore=0.01; nbour_method=adjacent
Simulated annealing,0.5726511159381015,0.26148515524468396,0.0,25,0.0,hillclimb=<function RandomGreedyHillclimb at 0x7fc6349f8160>; explore=0.05; nbour_method=Hamming
Simulated annealing,0.32706284530345764,0.308026537529327,0.0,25,0.0,hillclimb=<function RandomGreedyHillclimb at 0x7fc6349f8160>; explore=0.05; nbour_method=adjacent
Simulated annealing,0.547715750374064,0.3182062126761522,0.0,25,0.0,hillclimb=<function RandomGreedyHillclimb at 0x7fc6349f8160>; explore=0.1; nbour_method=Hamming
Simulated annealing,0.34304327846338717,0.3592218059779662,0.0,25,0.0,hillclimb=<function RandomGreedyHillclimb at 0x7fc6349f8160>; explore=0.1; nbour_method=adjacent
Simulated annealing,0.5218283448182851,0.26673953811096696,0.0,25,0.0,hillclimb=<function RandomGreedyHillclimb at 0x7fc6349f8160>; explore=0.2; nbour_method=Hamming
Simulated annealing,0.523653089671727,0.34544330999099815,0.0,25,0.0,hillclimb=<function RandomGreedyHillclimb at 0x7fc6349f8160>; explore=0.2; nbour_method=adjacent
Simulated annealing,0.6215738474709815,0.2124857753020245,0.0,25,0.0,hillclimb=<function RandomGreedyHillclimb at 0x7fc6349f8160>; explore=0.3; nbour_method=Hamming
Simulated annealing,0.639845009336251,0.254604759216266,0.0,25,0.0,hillclimb=<function RandomGreedyHillclimb at 0x7fc6349f8160>; explore=0.3; nbour_method=adjacent
Simulated annealing,0.4234414949832844,0.3133534245288844,0.0,25,0.0,hillclimb=<function RandomGreedyHillclimb at 0x7fc6349f8160>; explore=0.5; nbour_method=Hamming
Simulated annealing,0.5213106815997155,0.28318024568747796,0.0,25,0.0,hillclimb=<function RandomGreedyHillclimb at 0x7fc6349f8160>; explore=0.5; nbour_method=adjacent
Simulated annealing,0.5936856944394231,0.2252398868731402,0.0,25,0.0,hillclimb=<function RandomGreedyHillclimb at 0x7fc6349f8160>; explore=0.7; nbour_method=Hamming
Simulated annealing,0.5897183942771552,0.23776897420477142,0.0,25,0.0,hillclimb=<function RandomGreedyHillclimb at 0x7fc6349f8160>; explore=0.7; nbour_method=adjacent
Simulated annealing,0.5603788136054436,0.2136010861681615,0.0,25,0.0,hillclimb=<function RandomGreedyHillclimb at 0x7fc6349f8160>; explore=1.0; nbour_method=Hamming
Simulated annealing,0.5523472555106342,0.25964657122649837,0.0,25,0.0,hillclimb=<function RandomGreedyHillclimb at 0x7fc6349f8160>; explore=1.0; nbour_method=adjacent
Simulated annealing,0.3456695323230711,0.2633722214408434,0.0,25,0.0,hillclimb=<function StochasticHillclimb at 0x7fc6349f8310>; explore=0.01; nbour_method=Hamming
Simulated annealing,0.2752379613833548,0.3288760273426306,0.0,16.9,7.390605701265557,hillclimb=<function StochasticHillclimb at 0x7fc6349f8310>; explore=0.01; nbour_method=adjacent
Simulated annealing,0.45104884282723456,0.2629627960740952,0.0,25,0.0,hillclimb=<function StochasticHillclimb at 0x7fc6349f8310>; explore=0.05; nbour_method=Hamming
Simulated annealing,0.39741278550737796,0.2913516557619272,0.0,25,0.0,hillclimb=<function StochasticHillclimb at 0x7fc6349f8310>; explore=0.05; nbour_method=adjacent
Simulated annealing,0.34609146104782396,0.1994551258474202,0.0,25,0.0,hillclimb=<function StochasticHillclimb at 0x7fc6349f8310>; explore=0.1; nbour_method=Hamming
Simulated annealing,0.35150963777436167,0.2870347410397574,0.0,25,0.0,hillclimb=<function StochasticHillclimb at 0x7fc6349f8310>; explore=0.1; nbour_method=adjacent
Simulated annealing,0.3407849909764313,0.23521449019083218,0.0,25,0.0,hillclimb=<function StochasticHillclimb at 0x7fc6349f8310>; explore=0.2; nbour_method=Hamming
Simulated annealing,0.4356367801690192,0.2902498900492469,0.0,25,0.0,hillclimb=<function StochasticHillclimb at 0x7fc6349f8310>; explore=0.2; nbour_method=adjacent
Simulated annealing,0.36348054931306273,0.2533900727710858,0.0,25,0.0,hillclimb=<function StochasticHillclimb at 0x7fc6349f8310>; explore=0.3; nbour_method=Hamming
Simulated annealing,0.4984942342511481,0.24432367641265737,0.0,25,0.0,hillclimb=<function StochasticHillclimb at 0x7fc6349f8310>; explore=0.3; nbour_method=adjacent
Simulated annealing,0.37187411432820033,0.24214574651214094,0.0,25,0.0,hillclimb=<function StochasticHillclimb at 0x7fc6349f8310>; explore=0.5; nbour_method=Hamming
Simulated annealing,0.420422924627442,0.277515765217278,0.0,25,0.0,hillclimb=<function StochasticHillclimb at 0x7fc6349f8310>; explore=0.5; nbour_method=adjacent
Simulated annealing,0.3547558425187893,0.2527082197829614,0.0,25,0.0,hillclimb=<function StochasticHillclimb at 0x7fc6349f8310>; explore=0.7; nbour_method=Hamming
Simulated annealing,0.4899250127423559,0.21957840485903796,0.0,25,0.0,hillclimb=<function StochasticHillclimb at 0x7fc6349f8310>; explore=0.7; nbour_method=adjacent
Simulated annealing,0.36791451769497474,0.2608661210725302,0.0,25,0.0,hillclimb=<function StochasticHillclimb at 0x7fc6349f8310>; explore=1.0; nbour_method=Hamming
Simulated annealing,0.45012314602994147,0.25438969837841025,0.0,25,0.0,hillclimb=<function StochasticHillclimb at 0x7fc6349f8310>; explore=1.0; nbour_method=adjacent
Simulated annealing,0.12823591008660967,0.22633931002825108,0.0,1,0.0,hillclimb=None; explore=0.01; nbour_method=Hamming
Simulated annealing,0.05014798251059951,0.1479893397801449,0.0,1,0.0,hillclimb=None; explore=0.01; nbour_method=adjacent
Simulated annealing,0.5986303425355447,0.19849592862078463,0.0,50,0.0,hillclimb=None; explore=0.05; nbour_method=Hamming
Simulated annealing,0.6568194024786351,0.1491318210434777,0.0,50,0.0,hillclimb=None; explore=0.05; nbour_method=adjacent
Simulated annealing,0.7111037766113948,0.13332938037647885,0.0,50,0.0,hillclimb=None; explore=0.1; nbour_method=Hamming
Simulated annealing,0.6941615755699468,0.13919949707376977,0.0,50,0.0,hillclimb=None; explore=0.1; nbour_method=adjacent
Simulated annealing,0.7336879922954397,0.12853515487188105,0.0,50,0.0,hillclimb=None; explore=0.2; nbour_method=Hamming
Simulated annealing,0.7343806599551216,0.12075729357474,0.0,50,0.0,hillclimb=None; explore=0.2; nbour_method=adjacent
Simulated annealing,0.6971433760958164,0.10377296295081045,0.0,50,0.0,hillclimb=None; explore=0.3; nbour_method=Hamming
