pnpoly_RTX_2070_SUPER_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
Simulated annealing,0.6089832414182652,0.31170190568113726,0.0,1,0.0,hillclimb=None; explore=0.01; nbour_method=Hamming
Simulated annealing,0.6781009122430762,0.1657750941026367,0.0,1,0.0,hillclimb=None; explore=0.01; nbour_method=adjacent
Simulated annealing,0.9465325456039947,0.043354050635011465,0.0,25,0.0,hillclimb=None; explore=0.05; nbour_method=Hamming
Simulated annealing,0.9332801109823327,0.050927005276509014,0.0,25,0.0,hillclimb=None; explore=0.05; nbour_method=adjacent
Simulated annealing,0.9603367355414897,0.022875131160764176,0.0,25,0.0,hillclimb=None; explore=0.1; nbour_method=Hamming
Simulated annealing,0.9336456809808842,0.05233821596663081,0.0,25,0.0,hillclimb=None; explore=0.1; nbour_method=adjacent
Simulated annealing,0.9554056931667573,0.026815834012044425,0.0,25,0.0,hillclimb=None; explore=0.2; nbour_method=Hamming
Simulated annealing,0.9479450458289957,0.019882189329060128,0.0,25,0.0,hillclimb=None; explore=0.2; nbour_method=adjacent
Simulated annealing,0.9508341277158435,0.023926822546603735,0.0,25,0.0,hillclimb=None; explore=0.3; nbour_method=Hamming
Simulated annealing,0.9622106231636148,0.02189372504403828,0.0,25,0.0,hillclimb=None; explore=0.3; nbour_method=adjacent
Simulated annealing,0.9438007918545843,0.03688302023548745,0.0,25,0.0,hillclimb=None; explore=0.5; nbour_method=Hamming
Simulated annealing,0.9549890720038882,0.027452720867710684,0.0,25,0.0,hillclimb=None; explore=0.5; nbour_method=adjacent
Simulated annealing,0.9600979005165378,0.03048599713348888,0.0,25,0.0,hillclimb=None; explore=0.7; nbour_method=Hamming
Simulated annealing,0.9672655378897234,0.012448341228898489,0.0,25,0.0,hillclimb=None; explore=0.7; nbour_method=adjacent
Simulated annealing,0.9593490935485766,0.036397550296831845,0.0,25,0.0,hillclimb=None; explore=1.0; nbour_method=Hamming
Simulated annealing,0.9470344756647052,0.03974062718486684,0.0,25,0.0,hillclimb=None; explore=1.0; nbour_method=adjacent
Simulated annealing,0.7534639575516885,0.16396499281614033,0.0,25,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.01; nbour_method=Hamming
Simulated annealing,0.9442172164514968,0.06199720033048431,0.0,22.15,4.439950213092129,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.01; nbour_method=adjacent
Simulated annealing,0.7719439815907837,0.15130718442134894,0.0,25,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.05; nbour_method=Hamming
Simulated annealing,0.9300451482834943,0.04329743389196032,0.0,25,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.05; nbour_method=adjacent
Simulated annealing,0.7180911249705487,0.21669867019486524,0.0,25,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.1; nbour_method=Hamming
Simulated annealing,0.9329443543821683,0.05327006906989027,0.0,25,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.1; nbour_method=adjacent
Simulated annealing,0.8103102058966436,0.09762430230676242,0.0,25,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.2; nbour_method=Hamming
Simulated annealing,0.9290633354548046,0.051199769195039366,0.0,25,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.2; nbour_method=adjacent
Simulated annealing,0.8345823292006949,0.1388059162424541,0.0,25,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.3; nbour_method=Hamming
Simulated annealing,0.9604930406627362,0.03679988144298788,0.0,25,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.3; nbour_method=adjacent
Simulated annealing,0.848020378229169,0.09104643678615765,0.05,25,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.5; nbour_method=Hamming
Simulated annealing,0.9515697464948603,0.028555664685695988,0.0,25,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.5; nbour_method=adjacent
Simulated annealing,0.7813318754088868,0.169315904042188,0.0,25,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.7; nbour_method=Hamming
