GEMM_GTX_1080Ti_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
iRace,0.9066374390311337,0.0775227900771144,0.0,380.1111111111111,6.584915421712803,firstTest=2; nbConfigurations=0
iRace,0.9832963813246468,0.02212613441714325,0.4,783.9,12.031902038608303,firstTest=2; nbConfigurations=0
iRace,0.9969274219754444,0.005812768256838903,0.6,1563.8,17.33846078007567,firstTest=2; nbConfigurations=0
iRace,0.9996871527145785,0.0006595399878218488,0.8,3164.5,1.7159383568311668,firstTest=2; nbConfigurations=0
iRace,0.9997392939288154,0.0006385968472479658,0.5,6364,1.6733200530681511,firstTest=2; nbConfigurations=0
iRace,0.8602840693355845,0.059822689061869494,0.0,371.44444444444446,6.578584785330183,firstTest=5; nbConfigurations=0
iRace,0.9475912289051617,0.03337170702272625,0.0,766.7,14.537690478354683,firstTest=5; nbConfigurations=0
iRace,0.9808966772966737,0.018124741568979832,0.1,1567.4,14.721111069179225,firstTest=5; nbConfigurations=0
iRace,0.9984038703387095,0.003477631190794289,0.6,3150.4,25.59600663297999,firstTest=5; nbConfigurations=0
iRace,0.9995307290718677,0.0007555979795109689,0.7,6365.1,1.7919573407620817,firstTest=5; nbConfigurations=0
iRace,0.8728165210518609,0.08216159025805436,0.1,296.8888888888889,30.17633362605721,firstTest=2; nbConfigurations=10
iRace,0.9307406091464238,0.07307246325600605,0.0,640,51.92577119586876,firstTest=2; nbConfigurations=10
iRace,0.9745557157546817,0.02419863681948116,0.1,1433.7142857142858,36.12807904162765,firstTest=2; nbConfigurations=10
iRace,0.998185697771138,0.005442906686586128,0.8,3036.222222222222,4.6037424389777115,firstTest=2; nbConfigurations=10
iRace,1.0,0.0,0.9,6233.888888888889,3.6209268304000717,firstTest=2; nbConfigurations=10
iRace,1.5836602e-07,0.0,0.0,0,0.0,firstTest=2; nbConfigurations=50
iRace,0.9353109826988386,0.06609918596220908,0.1,369.9,21.65101999136915,firstTest=2; nbConfigurations=50
iRace,0.9860844912116722,0.013671741288760232,0.4,968,33.13608305156178,firstTest=2; nbConfigurations=50
iRace,0.9988731412668417,0.0035634401980321265,0.9,1979.4,36.5580208557423,firstTest=2; nbConfigurations=50
iRace,1.0,0.0,1.0,4941.1,28.594677049331324,firstTest=2; nbConfigurations=50
iRace,0.7964699152175385,0.09798534727150837,0.0,314.1111111111111,22.38551118717442,firstTest=5; nbConfigurations=10
iRace,0.9488410722589532,0.05479683154795577,0.2,649.6,20.934819480154747,firstTest=5; nbConfigurations=10
iRace,0.9681579859950792,0.06510292973002552,0.1,1406.111111111111,30.75485508193968,firstTest=5; nbConfigurations=10
iRace,0.983235895603478,0.04127732141121954,0.6,3029.5555555555557,18.371929070671314,firstTest=5; nbConfigurations=10
iRace,0.9791172198770357,0.06264834036889293,0.8,6232.111111111111,18.360585805227217,firstTest=5; nbConfigurations=10
iRace,1.5836602e-07,0.0,0.0,0,0.0,firstTest=5; nbConfigurations=50
iRace,0.9289593282212069,0.06422844988706679,0.0,386.9,60.272437039385316,firstTest=5; nbConfigurations=50
iRace,0.9755762655581974,0.02040485748760889,0.3,1132.7,57.14513685928722,firstTest=5; nbConfigurations=50
iRace,0.9900972397840955,0.01597920806933882,0.6,2331.6,74.81414007763209,firstTest=5; nbConfigurations=50
iRace,1.0,0.0,1.0,4970.9,42.098957495669914,firstTest=5; nbConfigurations=50
iRace,0.9055538291378219,0.060805759003237134,0.0,771.4,14.229859060752812,firstTest=10; nbConfigurations=0
iRace,0.9560071780569801,0.03488531288138203,0.0,1557.4,16.33809454414233,firstTest=10; nbConfigurations=0
iRace,0.9856378738594592,0.013038016881777668,0.3,3161.3,25.473515658424535,firstTest=10; nbConfigurations=0
iRace,0.9984701311019766,0.004316338907538497,0.8,6355.1,25.817522043070756,firstTest=10; nbConfigurations=0
iRace,0.9413197620727255,0.056247037775266344,0.0,677.5555555555555,26.91705366078869,firstTest=10; nbConfigurations=10
iRace,0.9374662362799938,0.04686624258249837,0.0,1402.8,33.93064822382397,firstTest=10; nbConfigurations=10
iRace,0.981886278262698,0.04250742315126444,0.3,2961.625,54.06064716065256,firstTest=10; nbConfigurations=10
iRace,0.9997765376532703,0.0005912257968335485,0.6,6215.571428571428,43.90465860952625,firstTest=10; nbConfigurations=10
iRace,0.7350580540975447,0.07797999856136416,0.0,157.1,33.52760057027642,firstTest=10; nbConfigurations=50
iRace,0.919356520897463,0.07207317986576756,0.0,1021.5,113.75045787453634,firstTest=10; nbConfigurations=50
iRace,0.9711786912001867,0.045180946989373805,0.1,2477.4,65.14291979946861,firstTest=10; nbConfigurations=50
iRace,0.99621641363566,0.005791649982410488,0.6,5127.9,75.83234431589494,firstTest=10; nbConfigurations=50
