GEMM_P100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
iRace,0.9550052868269526,0.030062655722547234,0.1,381,6.279217421667403,firstTest=2; nbConfigurations=0
iRace,0.9702449938731376,0.040125224998330905,0.1,774.4,3.596294389136314,firstTest=2; nbConfigurations=0
iRace,0.9904892411816433,0.012572653280299073,0.5,1565.7,13.556876074114156,firstTest=2; nbConfigurations=0
iRace,0.9993306002742505,0.001714137780801842,0.7,3165.9,4.458450154232722,firstTest=2; nbConfigurations=0
iRace,1.0,0.0,1.0,6364,1.0540925533894598,firstTest=2; nbConfigurations=0
iRace,0.9175319581740836,0.03985863549327017,0.0,374.7,9.298147963737486,firstTest=5; nbConfigurations=0
iRace,0.9506031572082438,0.02362008245913055,0.0,767.7,15.158789163019877,firstTest=5; nbConfigurations=0
iRace,0.9666789641456617,0.023312783802709063,0.0,1565.4,22.237106126672348,firstTest=5; nbConfigurations=0
iRace,0.9961091739220163,0.00969651445581708,0.7,3134.4,35.79633749111461,firstTest=5; nbConfigurations=0
iRace,0.9999401091229791,0.00018939158245093112,0.9,6336,29.53340857778225,firstTest=5; nbConfigurations=0
iRace,0.932637977620862,0.057797136701106186,0.0,294.75,12.82575533838066,firstTest=2; nbConfigurations=10
iRace,0.939491568825561,0.02636366289476186,0.0,633.5,34.10069123723363,firstTest=2; nbConfigurations=10
iRace,0.9809780004173693,0.022623943488991497,0.4,1418.7,34.73726785136934,firstTest=2; nbConfigurations=10
iRace,0.9901111752140941,0.020906759658328396,0.4,3030.3,18.661011047993444,firstTest=2; nbConfigurations=10
iRace,0.999933454581088,0.00019963625673617239,0.8,6237.777777777777,3.8333333333333335,firstTest=2; nbConfigurations=10
iRace,1.7755003999999998e-07,0.0,0.0,0,0.0,firstTest=2; nbConfigurations=50
iRace,0.9592748573052146,0.029827858668231337,0.1,353.9,14.813282328145013,firstTest=2; nbConfigurations=50
iRace,0.9763530391540882,0.022351330638242482,0.1,931.5,29.8561365365462,firstTest=2; nbConfigurations=50
iRace,0.9918733937650686,0.013772634107087452,0.5,1935,54.28525480173128,firstTest=2; nbConfigurations=50
iRace,0.9972716979525723,0.008627648614772264,0.9,4931.3,22.76473881539899,firstTest=2; nbConfigurations=50
iRace,0.911645543517942,0.07525769618682288,0.1,327.85714285714283,15.657038581508866,firstTest=5; nbConfigurations=10
iRace,0.9616597672229321,0.02697589624487427,0.2,629,28.442925306655784,firstTest=5; nbConfigurations=10
iRace,0.973278401706695,0.028125052478180555,0.1,1409.2222222222222,46.507466545109125,firstTest=5; nbConfigurations=10
iRace,0.9936041941672631,0.011732258181646877,0.4,3009.6,20.309822473101256,firstTest=5; nbConfigurations=10
iRace,0.9921724843433393,0.015512948387540602,0.6,6209.222222222223,42.15678408565393,firstTest=5; nbConfigurations=10
iRace,1.7755003999999998e-07,0.0,0.0,0,0.0,firstTest=5; nbConfigurations=50
iRace,0.9355269585501119,0.03310875604516344,0.0,406.5,53.98199288240066,firstTest=5; nbConfigurations=50
iRace,0.9712192505130626,0.02459140958092634,0.1,1116.3,43.652796779435185,firstTest=5; nbConfigurations=50
iRace,0.9944661351848526,0.013189729679597275,0.4,2270.2,56.0967418344813,firstTest=5; nbConfigurations=50
iRace,0.9999401091229791,0.00018939158245093112,0.9,4946.2,46.56608207697959,firstTest=5; nbConfigurations=50
iRace,0.9378347424665654,0.03414288955916184,0.1,762.9,11.976365614548236,firstTest=10; nbConfigurations=0
iRace,0.9741944406061933,0.018302190368780027,0.1,1551.7,25.991665330768374,firstTest=10; nbConfigurations=0
iRace,0.9822194533912609,0.01724321719288839,0.2,3137.2,26.889898970927106,firstTest=10; nbConfigurations=0
iRace,0.9822603158728814,0.01627800358478904,0.2,6343.1,28.792167144709495,firstTest=10; nbConfigurations=0
iRace,0.9153686827477574,0.050421925477079965,0.0,668.8888888888889,35.392246482967295,firstTest=10; nbConfigurations=10
iRace,0.9578212202741601,0.040008502134894194,0.0,1402,34.23448553724738,firstTest=10; nbConfigurations=10
iRace,0.9869837027975874,0.027834856423878968,0.5555555555555556,3033.1,33.11411246650655,firstTest=10; nbConfigurations=10
iRace,0.991502327323553,0.016105724442096143,0.3333333333333333,6213.6,31.309742892588563,firstTest=10; nbConfigurations=10
