GEMM_RTX_2070_SUPER_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
iRace,0.9052921530354321,0.07640882230019672,0.0,377.7,11.566714697306617,firstTest=2; nbConfigurations=0
iRace,0.9728005175191802,0.03997467529635139,0.3,775.9,16.237473804614915,firstTest=2; nbConfigurations=0
iRace,0.9865996295165798,0.03504089359706043,0.7,1571.4,5.4609726443393045,firstTest=2; nbConfigurations=0
iRace,1.0,0.0,1.0,3164.4,2.1186998109427604,firstTest=2; nbConfigurations=0
iRace,1.0,0.0,0.4,6363.75,0.9574271077563381,firstTest=2; nbConfigurations=0
iRace,0.8768037378848382,0.0930929883478112,0.0,369.4,10.905656024895217,firstTest=5; nbConfigurations=0
iRace,0.896705413722363,0.037155778736529727,0.0,767.4,10.595596569644707,firstTest=5; nbConfigurations=0
iRace,0.957934517785842,0.04587430205933472,0.1,1564.7,16.22104257506965,firstTest=5; nbConfigurations=0
iRace,0.9980655362743334,0.0024974919419271414,0.6,3155.2,22.004040033088874,firstTest=5; nbConfigurations=0
iRace,0.999522474272469,0.001510068940326943,0.9,6356.7,21.46858169511903,firstTest=5; nbConfigurations=0
iRace,0.8649035491707218,0.0886930192708802,0.0,309.7,17.5312419538504,firstTest=2; nbConfigurations=10
iRace,0.9240747632476843,0.0637111581288454,0.0,629.8888888888889,28.03767306876787,firstTest=2; nbConfigurations=10
iRace,0.9408759364284596,0.04790383759993608,0.2,1432.111111111111,17.737280262518013,firstTest=2; nbConfigurations=10
iRace,0.9802842348657818,0.02464918105026888,0.4,3035.1,13.370365240585864,firstTest=2; nbConfigurations=10
iRace,0.9776897683597346,0.049661876488844583,0.6,6231.444444444444,14.69788344550935,firstTest=2; nbConfigurations=10
iRace,1.7111732999999996e-07,0.0,0.0,0,0.0,firstTest=2; nbConfigurations=50
iRace,0.9463816628311257,0.04016134511206777,0.1,368.1,14.39482931858211,firstTest=2; nbConfigurations=50
iRace,0.9531442064683449,0.06551472464392284,0.4,966.8,28.330588102300702,firstTest=2; nbConfigurations=50
iRace,0.9919383279653824,0.01721351990018147,0.4,1964.3,62.5744889445105,firstTest=2; nbConfigurations=50
iRace,1.0,0.0,1.0,4933.2,36.23932793097699,firstTest=2; nbConfigurations=50
iRace,0.8373082881498276,0.06503023809691733,0.0,316.75,22.486503888840904,firstTest=5; nbConfigurations=10
iRace,0.9239750676751642,0.030423401763387387,0.0,642.75,41.917435853966886,firstTest=5; nbConfigurations=10
iRace,0.9468316393175883,0.05008053248248295,0.1,1420.111111111111,31.805834545113118,firstTest=5; nbConfigurations=10
iRace,0.9728904651822405,0.027068674640841242,0.1,3015.5555555555557,30.195658260382036,firstTest=5; nbConfigurations=10
iRace,0.9982622388262586,0.0026293446505112872,0.6,6229.222222222223,21.970308246459457,firstTest=5; nbConfigurations=10
iRace,1.7111732999999996e-07,0.0,0.0,0,0.0,firstTest=5; nbConfigurations=50
iRace,0.8745622380214686,0.049700034515211655,0.0,397.5,42.602164785893734,firstTest=5; nbConfigurations=50
iRace,0.9327930973060974,0.06707906855314762,0.1,1092.7,50.40513642256886,firstTest=5; nbConfigurations=50
iRace,0.9666597290634381,0.052538758902965735,0.2,2273.8,68.55946324177283,firstTest=5; nbConfigurations=50
iRace,0.9979705545568012,0.00641766998755835,0.9,4965.2,67.35940089467015,firstTest=5; nbConfigurations=50
iRace,0.8892315180065329,0.061089809348445274,0.0,774.5555555555555,20.988753602293247,firstTest=10; nbConfigurations=0
iRace,0.8952053939809099,0.06196249525061366,0.0,1565.6,17.671068633975327,firstTest=10; nbConfigurations=0
iRace,0.9590878378753848,0.041417274990890166,0.2,3161.9,22.98526097790108,firstTest=10; nbConfigurations=0
iRace,0.9946897419214711,0.0088309416528775,0.6,6359.9,26.121298249172497,firstTest=10; nbConfigurations=0
iRace,0.8984312951726792,0.06282949108868084,0.0,683.6666666666666,16.06237840420901,firstTest=10; nbConfigurations=10
iRace,0.8872922865004331,0.04205896092707276,0.0,1415,37.50851755120281,firstTest=10; nbConfigurations=10
iRace,0.964070400942016,0.03188012965665296,0.2,3011.3,41.70011990390435,firstTest=10; nbConfigurations=10
iRace,0.9554838234814788,0.035997786974917796,0.1,6217.444444444444,45.91326363675074,firstTest=10; nbConfigurations=10
iRace,0.6971058580243843,0.10371730096897258,0.0,140.9,24.168160873347396,firstTest=10; nbConfigurations=50
iRace,0.9164787251237169,0.061292624588980216,0.0,986.2,76.16035714201976,firstTest=10; nbConfigurations=50
iRace,0.9639655139186301,0.04736329160153668,0.2,2477.3,154.27540309459573,firstTest=10; nbConfigurations=50
iRace,0.991671144279948,0.021396171570630604,0.6,5105.1,141.06141294564657,firstTest=10; nbConfigurations=50
