convolution_GTX_1080Ti_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
iRace,0.7966174100276239,0.07327177130566599,0.0,177.7,7.958922316774077,firstTest=2; nbConfigurations=0
iRace,0.8541274353384364,0.028129039492109757,0.0,383.7,2.359378449224852,firstTest=2; nbConfigurations=0
iRace,0.8874331540450481,0.054560049610537,0.1,774.2,11.033282980751165,firstTest=2; nbConfigurations=0
iRace,0.9003560281528306,0.04206569000405982,0.1,1568.1,16.562675575589296,firstTest=2; nbConfigurations=0
iRace,0.9329966854645877,0.05145808612215762,0.3,3160.4,15.28397853963424,firstTest=2; nbConfigurations=0
iRace,0.9436024856603857,0.04698430098218539,0.3,6364.875,0.8345229603962802,firstTest=2; nbConfigurations=0
iRace,0.8060732479086737,0.08568091578486399,0.0,179.44444444444446,7.434902674398487,firstTest=5; nbConfigurations=0
iRace,0.8249856060176917,0.03966034807017733,0.0,377,11.469767022723502,firstTest=5; nbConfigurations=0
iRace,0.8882106764698735,0.05136096484146072,0.1,777,7.363574011458174,firstTest=5; nbConfigurations=0
iRace,0.8948344958201765,0.04930841251765073,0.1,1574.3,14.61392030451332,firstTest=5; nbConfigurations=0
iRace,0.9036301497617395,0.05195312768713698,0.1,3173.2,13.53021310499826,firstTest=5; nbConfigurations=0
iRace,0.9468676132275919,0.05446495529049064,0.4,6364.2,19.366637980472156,firstTest=5; nbConfigurations=0
iRace,0.8118579039295264,0.0708603484347265,0.0,130,12.884098726725126,firstTest=2; nbConfigurations=10
iRace,0.8357272786179097,0.014131098993237338,0.0,299.1,20.97326340314682,firstTest=2; nbConfigurations=10
iRace,0.8495647549433151,0.045041409283564725,0.0,585.2222222222222,28.52094746750964,firstTest=2; nbConfigurations=10
iRace,0.9025543927628823,0.041510513984035886,0.1,1383.8,31.636125623161323,firstTest=2; nbConfigurations=10
iRace,0.9332152408768121,0.04626852271426029,0.3,2992,39.85250584621025,firstTest=2; nbConfigurations=10
iRace,0.9291137293797503,0.04055502649298774,0.2,6195.888888888889,13.66056774483078,firstTest=2; nbConfigurations=10
iRace,1.0454819910228253e-08,0.0,0.0,0,0.0,firstTest=2; nbConfigurations=50
iRace,1.0454819910228253e-08,0.0,0.0,0,0.0,firstTest=2; nbConfigurations=50
iRace,0.8696384799834405,0.07586064146663891,0.1,352.2,35.351567622006996,firstTest=2; nbConfigurations=50
iRace,0.8809668972461603,0.04969735887343549,0.1,982.1,28.317446526439806,firstTest=2; nbConfigurations=50
iRace,0.9107123631830911,0.03670105335799574,0.0,2005.8,49.66286338905561,firstTest=2; nbConfigurations=50
iRace,0.9479878519381344,0.044840251090075604,0.4,4907.2,22.369622258768697,firstTest=2; nbConfigurations=50
iRace,0.747486805947505,0.07096459109100607,0.0,149.11111111111111,13.968217893171309,firstTest=5; nbConfigurations=10
iRace,0.7961996324087978,0.05969515314799409,0.0,323.8,15.760710643876436,firstTest=5; nbConfigurations=10
iRace,0.8340072651996528,0.041754869146399524,0.0,651.5,15.593802187621423,firstTest=5; nbConfigurations=10
iRace,0.8796060361368584,0.05518142020658792,0.1,1389.3,32.076471127603796,firstTest=5; nbConfigurations=10
iRace,0.8881234352970615,0.05847755138637525,0.1,2971.4,38.98774736304272,firstTest=5; nbConfigurations=10
iRace,0.9494484298238056,0.04807817308092835,0.4,6194.111111111111,24.359004723327903,firstTest=5; nbConfigurations=10
iRace,1.0454819910228253e-08,0.0,0.0,0,0.0,firstTest=5; nbConfigurations=50
iRace,1.0454819910228253e-08,0.0,0.0,0,0.0,firstTest=5; nbConfigurations=50
iRace,0.8159411936555448,0.055158121814299826,0.0,449.4,57.12792662087431,firstTest=5; nbConfigurations=50
iRace,0.8718093134024989,0.032174691084706296,0.0,1186.2,36.553765575898986,firstTest=5; nbConfigurations=50
iRace,0.8861348426249271,0.04744800590224521,0.0,2392.1,46.63915855920978,firstTest=5; nbConfigurations=50
iRace,0.9260178367364442,0.055996724625788384,0.3,4990.3,40.19134788041382,firstTest=5; nbConfigurations=50
iRace,0.8076799065710211,0.05464888219106155,0.0,376.44444444444446,7.891627067834476,firstTest=10; nbConfigurations=0
iRace,0.8178369025338502,0.04966611145361574,0.0,774.6,12.738393409950355,firstTest=10; nbConfigurations=0
iRace,0.8554237871873221,0.02755618078124899,0.0,1573.5,8.657045942147034,firstTest=10; nbConfigurations=0
iRace,0.8888554060661926,0.0337662789722301,0.0,3175,13.832329280830953,firstTest=10; nbConfigurations=0
iRace,0.9301202960396842,0.04972687700705849,0.3,6365.9,17.54011275777769,firstTest=10; nbConfigurations=0
iRace,0.8217559712335549,0.06600084358995272,0.0,330,25.871477215909675,firstTest=10; nbConfigurations=10
iRace,0.8322495110937331,0.07632958198147508,0.1,683,25.197001585285676,firstTest=10; nbConfigurations=10
iRace,0.8640240443201936,0.0661709075651899,0.1,1369.5,56.98391585936041,firstTest=10; nbConfigurations=10
iRace,0.895938236679143,0.05897075382641753,0.1,2994.222222222222,45.419648220174984,firstTest=10; nbConfigurations=10
iRace,0.8838634631405391,0.05061001325473539,0.1,6198.3,26.081283199515575,firstTest=10; nbConfigurations=10
iRace,1.0454819910228253e-08,0.0,0.0,0,0.0,firstTest=10; nbConfigurations=50
iRace,0.7428333432697785,0.07226038959917168,0.0,182.3,27.182715096178306,firstTest=10; nbConfigurations=50
iRace,0.8624691980811594,0.08227154176402653,0.1,1078.6,123.21994788002289,firstTest=10; nbConfigurations=50
iRace,0.8620320119211747,0.03035326279628417,0.0,2538.4,106.05155978736632,firstTest=10; nbConfigurations=50
