convolution_P100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
iRace,0.8769542995894728,0.057289867395219116,0.0,184.1,8.02011360407209,firstTest=2; nbConfigurations=0
iRace,0.9253587495833351,0.030472970251250252,0.0,375.3,8.718435129718584,firstTest=2; nbConfigurations=0
iRace,0.9563466465528396,0.03655527872750676,0.0,779.8,2.936362072739365,firstTest=2; nbConfigurations=0
iRace,0.9421737019133039,0.037519312091716224,0.1,1570.9,2.0789954839350235,firstTest=2; nbConfigurations=0
iRace,0.9537124445737335,0.037184429591950584,0.1,3163,6.716480559869962,firstTest=2; nbConfigurations=0
iRace,0.961199890298721,0.03826147434744401,0.1,6364.75,1.164964745021435,firstTest=2; nbConfigurations=0
iRace,0.8716087986777146,0.08475688187847166,0.0,181.88888888888889,8.521215354109478,firstTest=5; nbConfigurations=0
iRace,0.8710154449838758,0.061886897007062604,0.0,374.1,6.332456079595025,firstTest=5; nbConfigurations=0
iRace,0.932426877027898,0.03463694587401082,0.0,772.2,12.734903917100347,firstTest=5; nbConfigurations=0
iRace,0.9290069164927914,0.03932771796088838,0.2,1572.1,10.375719519896226,firstTest=5; nbConfigurations=0
iRace,0.958531177603487,0.04146442744269463,0.3,3168.7,15.463577277661926,firstTest=5; nbConfigurations=0
iRace,0.9643880549645809,0.04140572225124029,0.2,6359.2,21.846942323558437,firstTest=5; nbConfigurations=0
iRace,0.840520758141861,0.062099741448455856,0.0,135.7,14.126806669119057,firstTest=2; nbConfigurations=0
iRace,0.9321305221420634,0.04784471805631815,0.1,292.8888888888889,12.564279171966497,firstTest=2; nbConfigurations=0
iRace,0.9290799651746926,0.05516625069188138,0.0,593.1,28.250663709017527,firstTest=2; nbConfigurations=0
iRace,0.9361651057845564,0.03515779195424108,0.0,1395.8,20.40043572519415,firstTest=2; nbConfigurations=0
iRace,0.9587890266993501,0.03871207196946383,0.0,2997.3,22.450191783392658,firstTest=2; nbConfigurations=0
iRace,0.9549633282877099,0.03514886331446581,0.0,6191.6,32.66734693169244,firstTest=2; nbConfigurations=0
iRace,1.1074110046029091e-08,0.0,0.0,0,0.0,firstTest=2; nbConfigurations=0
iRace,1.1074110046029091e-08,0.0,0.0,0,0.0,firstTest=2; nbConfigurations=0
iRace,0.9119145915007398,0.04350165970533298,0.0,370.2,20.980414146955674,firstTest=2; nbConfigurations=0
iRace,0.9352628300644598,0.04332471247197998,0.0,967.2,24.728750698551494,firstTest=2; nbConfigurations=0
iRace,0.9596914959971871,0.038954759113599566,0.1,2017.1,58.76213822597752,firstTest=2; nbConfigurations=0
iRace,0.9526195895682366,0.03860339243443842,0.1,4894.3,49.28161703696195,firstTest=2; nbConfigurations=0
iRace,0.8399263231782913,0.05123969855301942,0.0,131.77777777777777,9.510228411791404,firstTest=5; nbConfigurations=10
iRace,0.9243872574623545,0.04039920136220201,0.0,309.2,12.452576707921404,firstTest=5; nbConfigurations=10
iRace,0.9208662928610899,0.05439069936365038,0.0,634.3,18.880030602611733,firstTest=5; nbConfigurations=10
iRace,0.9178435902186177,0.03545078087275768,0.0,1376.1,32.73615059159454,firstTest=5; nbConfigurations=10
iRace,0.9401244318050291,0.038987675737819256,0.0,2983,26.08958923913266,firstTest=5; nbConfigurations=10
iRace,0.9458981657980963,0.03462669348373143,0.0,6204.2,15.949921629901509,firstTest=5; nbConfigurations=10
iRace,1.1074110046029091e-08,0.0,0.0,0,0.0,firstTest=5; nbConfigurations=50
iRace,1.1074110046029091e-08,0.0,0.0,0,0.0,firstTest=5; nbConfigurations=50
iRace,0.8674153243255908,0.039853178403989005,0.0,434.5,41.915921133197635,firstTest=5; nbConfigurations=50
iRace,0.920072449697602,0.04480825739733321,0.0,1120.9,44.26046643325044,firstTest=5; nbConfigurations=50
iRace,0.9533401649872099,0.04203370056956528,0.0,2428.7,56.63930712068352,firstTest=5; nbConfigurations=50
iRace,0.9573039627311741,0.04062631980308107,0.0,4936.4,58.91085544183592,firstTest=5; nbConfigurations=50
iRace,0.878990019518937,0.06793189131998244,0.0,380.9,10.13738953906116,firstTest=10; nbConfigurations=0
iRace,0.900355073420585,0.04825111417905668,0.0,777.1,9.666091936937768,firstTest=10; nbConfigurations=0
iRace,0.9491375794613854,0.042433078766667846,0.2,1573.8,17.611864687697828,firstTest=10; nbConfigurations=0
iRace,0.9332263905707608,0.042388911337224854,0.0,3166.7,13.41682194527121,firstTest=10; nbConfigurations=0
iRace,0.9648358645467707,0.043065342361814044,0.4,6372.4,8.94675608499776,firstTest=10; nbConfigurations=0
iRace,0.8555146884683764,0.04261976190673021,0.0,325.8,30.58612612134971,firstTest=10; nbConfigurations=10
iRace,0.9129027195169128,0.050704801274826836,0.1,702.4,20.227593914144993,firstTest=10; nbConfigurations=10
iRace,0.9272570910254991,0.06258274617964132,0.0,1375.2,35.505242179461646,firstTest=10; nbConfigurations=10
iRace,0.9432925834403604,0.04230662180075258,0.1,2990.222222222222,29.329071660119833,firstTest=10; nbConfigurations=10
iRace,0.9347749383839882,0.0332572911035834,0.0,6199.7,31.972383916957668,firstTest=10; nbConfigurations=10
iRace,1.1074110046029091e-08,0.0,0.0,0,0.0,firstTest=10; nbConfigurations=50
iRace,0.7753427086997113,0.040308233385908714,0.0,191.3,22.06581065811995,firstTest=10; nbConfigurations=50
iRace,0.9123645840590145,0.052524149096867874,0.0,1051.4,128.24819686841604,firstTest=10; nbConfigurations=50
iRace,0.9459365690694006,0.034803117522246574,0.0,2472,88.70550527823325,firstTest=10; nbConfigurations=50
iRace,0.9459754781737454,0.04280924563523863,0.1,5332.1,142.2684863988586,firstTest=10; nbConfigurations=50
