pnpoly_GTX_1080Ti_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
iRace,0.8455642404775956,0.06494198896017307,0.0,180.8,8.966604708583958,firstTest=2; nbConfigurations=0
iRace,0.9274693833586503,0.07052004980841889,0.0,378.5,9.107384061542835,firstTest=2; nbConfigurations=0
iRace,0.9607883782609664,0.0558649398867158,0.3,768.6,15.987495113369073,firstTest=2; nbConfigurations=0
iRace,0.9860829572983524,0.04400072393489953,0.8,1566.4,16.37884814834873,firstTest=2; nbConfigurations=0
iRace,0.9971483107565711,0.009000179242518757,0.7,3161.6,13.074147518417151,firstTest=2; nbConfigurations=0
iRace,0.9999949738730821,1.0596005912970434e-05,0.8,6365,0.816496580927726,firstTest=2; nbConfigurations=0
iRace,0.8312976175817111,0.06809334762219797,0.0,182.1,5.97122730730924,firstTest=5; nbConfigurations=0
iRace,0.9213990250396116,0.07391478567977731,0.1,380.1,9.689054534771584,firstTest=5; nbConfigurations=0
iRace,0.9529265660135873,0.04015785866593342,0.0,784.2,6.142746399887703,firstTest=5; nbConfigurations=0
iRace,0.982212404641714,0.04352739520542809,0.6,1580.8,11.193251935380035,firstTest=5; nbConfigurations=0
iRace,0.993340825403872,0.015857554266328934,0.8,3175.3,15.224614572753193,firstTest=5; nbConfigurations=0
iRace,0.9950961130352569,0.015472137216204765,0.5,6378.1,2.8067379246694513,firstTest=5; nbConfigurations=0
iRace,0.8753186862808674,0.08338650260769953,0.2,132.8,8.715248450592533,firstTest=2; nbConfigurations=10
iRace,0.9382729474175475,0.06923328824584914,0.2,294.8,11.99814800523629,firstTest=2; nbConfigurations=10
iRace,0.921700353898117,0.07033699724563276,0.1,613.2,29.513838562048594,firstTest=2; nbConfigurations=10
iRace,0.9516138409750189,0.07689485341377443,0.3,1375.7,42.405581393648326,firstTest=2; nbConfigurations=10
iRace,0.9982346601147795,0.005582494881637196,0.9,2996.8,21.248790815270198,firstTest=2; nbConfigurations=10
iRace,1.0,0.0,1.0,6206.3,3.6224607965059086,firstTest=2; nbConfigurations=10
iRace,1.479724007844925e-07,0.0,0.0,0,0.0,firstTest=2; nbConfigurations=50
iRace,1.479724007844925e-07,0.0,0.0,0,0.0,firstTest=2; nbConfigurations=50
iRace,0.9367297885256551,0.05474801182941361,0.0,397.2,7.435649863252633,firstTest=2; nbConfigurations=50
iRace,0.9914589213262776,0.01609437567538138,0.7,1035.4,72.14522391214358,firstTest=2; nbConfigurations=50
iRace,0.9999924608096232,1.2139249790096668e-05,0.7,2119.1,41.51157803686956,firstTest=2; nbConfigurations=50
iRace,1.0,0.0,1.0,4926.2,29.921378459036422,firstTest=2; nbConfigurations=50
