pnpoly_P100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
iRace,0.8296209717543199,0.09100419366209622,0.1,180,9.93310961716756,firstTest=2; nbConfigurations=0
iRace,0.9231709833951522,0.08873247817520234,0.4,381,10.16530045465127,firstTest=2; nbConfigurations=0
iRace,0.9809721586274479,0.050394565667136085,0.5,771.9,11.337744239682092,firstTest=2; nbConfigurations=0
iRace,0.9622440605927528,0.07895718958007926,0.7,1570.8,12.200182148002726,firstTest=2; nbConfigurations=0
iRace,1.0,0.0,1.0,3165.2,1.2292725943057183,firstTest=2; nbConfigurations=0
iRace,1.0,0.0,1.0,6365,0.9428090415820634,firstTest=2; nbConfigurations=0
iRace,0.8538688185276115,0.08643567361097888,0.0,184,6.342099196813483,firstTest=5; nbConfigurations=0
iRace,0.9164843584424306,0.08389434691463026,0.2,385.6,5.440588203494177,firstTest=5; nbConfigurations=0
iRace,0.9790552769010024,0.03130862648634658,0.5,771.8,11.877148928369412,firstTest=5; nbConfigurations=0
iRace,0.9735513752895983,0.05663100502219998,0.6,1579.9,11.761046816598522,firstTest=5; nbConfigurations=0
iRace,0.9991469620916761,0.002697542720769555,0.9,3183.3,7.424434134816082,firstTest=5; nbConfigurations=0
iRace,1.0,0.0,1.0,6378.8,3.552776691859794,firstTest=5; nbConfigurations=0
iRace,0.883802268056616,0.09526988144958114,0.1,138.5,8.100068586815244,firstTest=2; nbConfigurations=10
iRace,0.8895761064227132,0.07694192055475191,0.1,294.5,11.900046685249228,firstTest=2; nbConfigurations=10
iRace,0.9560946639086311,0.08186650611550403,0.7,606.2,54.07155752642357,firstTest=2; nbConfigurations=10
iRace,0.9547273180105961,0.08160748965776,0.6,1384.9,22.511478553543892,firstTest=2; nbConfigurations=10
iRace,0.9994430553877123,0.0017612135053884691,0.9,2989.7,21.260552935215753,firstTest=2; nbConfigurations=10
iRace,1.0,0.0,1.0,6205.9,4.629614814791111,firstTest=2; nbConfigurations=10
iRace,1.8910322904586793e-07,0.0,0.0,0,0.0,firstTest=2; nbConfigurations=50
iRace,1.8910322904586793e-07,0.0,0.0,0,0.0,firstTest=2; nbConfigurations=50
iRace,0.9761386846876163,0.04307029127657643,0.5,389.4,4.247875285886398,firstTest=2; nbConfigurations=50
iRace,0.9826782344440959,0.05091510074805251,0.7,1073.7,16.2073371587617,firstTest=2; nbConfigurations=50
iRace,0.9837921236686712,0.05125380524133292,0.9,2144.1,33.46125454246382,firstTest=2; nbConfigurations=50
iRace,1.0,0.0,1.0,4927.4,26.230601297805666,firstTest=2; nbConfigurations=50
iRace,0.8748137995760916,0.0763554091624272,0.0,134.6,6.203941399536982,firstTest=5; nbConfigurations=10
iRace,0.9176153173863817,0.08926478295768181,0.2,326.1,16.05165273595076,firstTest=5; nbConfigurations=10
iRace,0.8784464190748839,0.10687431339832952,0.3,674.7,28.308027915141746,firstTest=5; nbConfigurations=10
iRace,0.9301338821063412,0.09873244374057798,0.5,1369.5,36.60373387146909,firstTest=5; nbConfigurations=10
iRace,0.9821960803313059,0.051435081049647405,0.7,3004.4,18.661904154363956,firstTest=5; nbConfigurations=10
iRace,1.0,0.0,1.0,6193,19.977765418362264,firstTest=5; nbConfigurations=10
iRace,1.8910322904586793e-07,0.0,0.0,0,0.0,firstTest=5; nbConfigurations=50
iRace,1.8910322904586793e-07,0.0,0.0,0,0.0,firstTest=5; nbConfigurations=50
iRace,0.9496225780184405,0.0685250601582438,0.2,479.2,12.620970203945848,firstTest=5; nbConfigurations=50
iRace,0.9766599098402402,0.05281158904737245,0.5,1220.2,69.73569148339082,firstTest=5; nbConfigurations=50
iRace,0.9778181899163816,0.05113810246473173,0.6,2594.8,33.26593185561202,firstTest=5; nbConfigurations=50
iRace,1.0,0.0,1.0,5254.3,59.608071787487155,firstTest=5; nbConfigurations=50
iRace,0.8947152327813848,0.09960196482209784,0.0,376.6,15.833859640375467,firstTest=10; nbConfigurations=0
iRace,0.9050455372209933,0.08846691762494995,0.1,778.1,13.278637815010327,firstTest=10; nbConfigurations=0
iRace,0.968285647941806,0.08105616189058826,0.5,1584.1,9.14634110207768,firstTest=10; nbConfigurations=0
iRace,0.9763417624533364,0.05340393631309385,0.5,3182,8.981462390204987,firstTest=10; nbConfigurations=0
iRace,1.0,0.0,1.0,6379.2,12.743625857659193,firstTest=10; nbConfigurations=0
iRace,0.9004612178278462,0.081089215228621,0.1,337.3,23.828321151287366,firstTest=10; nbConfigurations=10
iRace,0.8702907745232721,0.07896856314641224,0.0,702.7,29.139701821093198,firstTest=10; nbConfigurations=10
iRace,0.8623396662489445,0.09055728743042092,0.1,1442.4,21.04070129798698,firstTest=10; nbConfigurations=10
iRace,0.9374328419915277,0.08341058556045194,0.3,3001.6,40.628944252972055,firstTest=10; nbConfigurations=10
iRace,0.9605620863695534,0.08201958379736915,0.7,6211.6,36.95402549114237,firstTest=10; nbConfigurations=10
iRace,1.8910322904586793e-07,0.0,0.0,0,0.0,firstTest=10; nbConfigurations=50
iRace,0.8707999327114744,0.0668282330437241,0.0,480.2,11.8490505948789,firstTest=10; nbConfigurations=50
iRace,0.9424854453379654,0.05051198911855344,0.0,973,12.0,firstTest=10; nbConfigurations=50
iRace,0.993103138184616,0.005750463062683664,0.3,2796.1,67.37366778728253,firstTest=10; nbConfigurations=50
iRace,0.966470358112767,0.06778947775093458,0.6,5633.5,85.10940671342452,firstTest=10; nbConfigurations=50
