pnpoly_RTX_2070_SUPER_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
iRace,0.9749002342091375,0.016695592965164537,0.0,180.4,10.035492569431314,firstTest=2; nbConfigurations=0
iRace,0.9899727140768948,0.008212206050456212,0.0,380.6,13.467656729282112,firstTest=2; nbConfigurations=0
iRace,0.9937216848876469,0.0051837015857595335,0.0,768.4,13.729125568982493,firstTest=2; nbConfigurations=0
iRace,0.9943011726101055,0.0061050324167699985,0.3,1571.2,8.753412033157254,firstTest=2; nbConfigurations=0
iRace,0.9974544598370324,0.004043837596722467,0.2,3156.8,22.01413687206978,firstTest=2; nbConfigurations=0
iRace,0.9998603677451986,0.0001471853199991384,0.5,6365.2,1.3165611772087666,firstTest=2; nbConfigurations=0
iRace,0.9592286738076538,0.022145117584638378,0.0,188.1,6.806043066438988,firstTest=5; nbConfigurations=0
iRace,0.9769016620682038,0.02515012834823614,0.0,380.5,8.289886743630593,firstTest=5; nbConfigurations=0
iRace,0.9898872875280271,0.0065310787891671215,0.0,780.2,9.761602782785667,firstTest=5; nbConfigurations=0
iRace,0.9923568788499487,0.006612543738248777,0.2,1573.4,10.101705026600433,firstTest=5; nbConfigurations=0
iRace,0.9962737083599637,0.006169584355235274,0.3,3177.7,9.416887903005843,firstTest=5; nbConfigurations=0
iRace,0.9997649992638263,0.00020290153181880805,0.3,6374.6,11.654279137819817,firstTest=5; nbConfigurations=0
iRace,0.9583415214146179,0.042074978020738854,0.1,131.7,7.288499312082167,firstTest=2; nbConfigurations=10
iRace,0.9860952177909343,0.008999167753813743,0.1,295,10.066445913694333,firstTest=2; nbConfigurations=10
iRace,0.985243716866017,0.026567594761101373,0.1,605.8,22.77815717841205,firstTest=2; nbConfigurations=10
iRace,0.9961211678678675,0.005402576495041536,0.3,1403.5,14.19898274916591,firstTest=2; nbConfigurations=10
iRace,0.9955518217485025,0.007162247430739595,0.7,2994.5,34.22555900038579,firstTest=2; nbConfigurations=10
iRace,0.9968949155775336,0.006179444226723113,0.3,6205.5,3.4075080500434787,firstTest=2; nbConfigurations=10
iRace,1.2325379967689514e-07,0.0,0.0,0,0.0,firstTest=2; nbConfigurations=50
iRace,1.2325379967689514e-07,0.0,0.0,0,0.0,firstTest=2; nbConfigurations=50
iRace,0.987630682065857,0.007146708430701087,0.0,398.2,8.560892995995738,firstTest=2; nbConfigurations=50
iRace,0.9950813078122475,0.006372419992276296,0.2,1079.1,29.289550658516045,firstTest=2; nbConfigurations=50
iRace,0.9946844584129905,0.006732801294790383,0.2,2098.2,70.94567561796059,firstTest=2; nbConfigurations=50
iRace,0.9986294701336057,0.0034508840590972744,0.0,4930.5,36.727979041113116,firstTest=2; nbConfigurations=50
iRace,0.9481551012769603,0.04316692250084783,0.0,137.5,3.7490739597339973,firstTest=5; nbConfigurations=10
iRace,0.9626417036168926,0.039158140417277255,0.0,331.2,13.248060654718905,firstTest=5; nbConfigurations=10
iRace,0.9866092739450543,0.007687659418664908,0.0,663.6,21.838803386022168,firstTest=5; nbConfigurations=10
iRace,0.9708512526258338,0.040513899553820315,0.0,1397.9,28.606331855416595,firstTest=5; nbConfigurations=10
iRace,0.9956281274234213,0.006980342931921124,0.4,2999.9,26.631017838436275,firstTest=5; nbConfigurations=10
iRace,0.9997929257147866,0.00021499056368475255,0.4,6200.5,29.266021253323792,firstTest=5; nbConfigurations=10
iRace,1.2325379967689514e-07,0.0,0.0,0,0.0,firstTest=5; nbConfigurations=50
iRace,1.2325379967689514e-07,0.0,0.0,0,0.0,firstTest=5; nbConfigurations=50
iRace,0.9847052261986917,0.007334570344230252,0.0,488.5,4.249182927993988,firstTest=5; nbConfigurations=50
iRace,0.9886800492076554,0.014934386088342883,0.1,1206.5,13.125462954798119,firstTest=5; nbConfigurations=50
iRace,0.9960526954978431,0.0054998739729061,0.4,2585.7,108.69227714566988,firstTest=5; nbConfigurations=50
iRace,0.9969507684794542,0.006208875057130534,0.5,5230.9,141.68466552328252,firstTest=5; nbConfigurations=50
iRace,0.9612988481548007,0.028360073060827613,0.0,370.8,13.774372338997278,firstTest=10; nbConfigurations=0
iRace,0.9780205720166371,0.02771070559332678,0.1,782,9.545214042184236,firstTest=10; nbConfigurations=0
iRace,0.9856984744134938,0.015438397420638711,0.1,1581.5,8.017342313870461,firstTest=10; nbConfigurations=0
iRace,0.9935942015042717,0.005775059701831689,0.2,3172.8,10.768266135063508,firstTest=10; nbConfigurations=0
iRace,0.9926372049125949,0.004848017675567424,0.1,6380.2,9.199033765685515,firstTest=10; nbConfigurations=0
iRace,0.9676261462973192,0.025570056215441304,0.0,339.5,21.454085340041363,firstTest=10; nbConfigurations=10
iRace,0.978978191600943,0.02408720089180241,0.1,702.5,33.36748250750855,firstTest=10; nbConfigurations=10
iRace,0.9849149026257983,0.00872975856968201,0.0,1432,34.24097610239002,firstTest=10; nbConfigurations=10
iRace,0.9850372620501145,0.017940693699564653,0.1,3003.1,29.293343953874572,firstTest=10; nbConfigurations=10
iRace,0.9831302580687686,0.026265278131296078,0.1,6217.8,29.630314806892542,firstTest=10; nbConfigurations=10
iRace,1.2325379967689514e-07,0.0,0.0,0,0.0,firstTest=10; nbConfigurations=50
iRace,0.9710441845823524,0.02474826600215278,0.0,487.4,9.674709297958259,firstTest=10; nbConfigurations=50
iRace,0.980806298835289,0.019595370399933636,0.0,973.9,17.207556479639983,firstTest=10; nbConfigurations=50
iRace,0.9942374440273223,0.004947048130601963,0.1,2869.7,22.642388959157508,firstTest=10; nbConfigurations=50
iRace,0.9929857074949138,0.006561408901004591,0.3,5653.3,149.37354369350535,firstTest=10; nbConfigurations=50
